EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanDNBR,MeanSeverity,TotalBiomassMortality,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,NumberCellsSeverity4,NumberCellsSeverity5,
164, 14, 699, 422, 16.0935003577535, 180, 243, Lightning, 2, 51, 1038, 1471, 10.8196962352941, 13.3969933653245, 318.907028803922, 0, 15.82, 0.316916411768708, 459.33, 0, 609953, 17, 14, 10, 1, 9, 
165, 14, 713, 378, 21.1607283402267, 192, 290, Lightning, 1, 34, 667, 876, 11.7781638352941, 14.0331864465658, 101.801089647059, 0, 18.27, 0.32179559500223, 395.09, 0, 282002, 7, 14, 6, 3, 4, 
166, 14, 931, 160, 20.8312453065631, 205, 324, Accidental, 1, 5, 87, 147, 10.5712344, 9.60296412750106, 98.611492, 0, 20.83, 0.326605474279908, 194.4, 0, 22933, 3, 2, 0, 0, 0, 
167, 14, 704, 459, 23.045110719428, 241, 349, Accidental, 2, 102, 2108, 2582, 14.8145832, 16.0334593032236, 302.400863470588, 0, 22.95, 0.33077512866376, 603.68, 0, 1212955, 18, 20, 16, 14, 34, 
168, 14, 784, 499, 21.1499250177866, 279, 401, Accidental, 4, 201, 4646, 4982, 17.747677361194, 19.1427685736014, 254.56053336816, 0, 25.56, 0.335580052758426, 1259.87, 0, 2510994, 11, 6, 31, 11, 142, 
169, 14, 928, 179, 27.1313328150584, 290, 403, Accidental, 1, 2, 57, 60, 14.7424068, 15.1861925912435, 316.758182, 0, 27.13, 0.339067849166884, 498.5, 0, 24134, 0, 0, 0, 2, 0, 
170, 14, 774, 374, 16.371231030246, 297, 268, Lightning, 1, 16, 312, 424, 12.0803472, 13.4191314959854, 305.803682, 0, 16.37, 0.317927475075649, 511.88, 0, 176926, 2, 10, 1, 0, 3, 
171, 14, 772, 312, 18.1524694650307, 303, 291, Accidental, 1, 2, 38, 63, 15.1456356, 14.001191899544, 72.240757, 0, 18.15, 0.321378571743878, 176.5, 0, 13873, 2, 0, 0, 0, 0, 
172, 14, 715, 441, 15.7087485884833, 324, 311, Accidental, 2, 76, 1544, 1853, 17.3715666631579, 17.3629740573129, 183.360273026316, 0, 17.54, 0.319621361754227, 923.93, 0, 1003453, 8, 21, 4, 6, 37, 
173, 14, 963, 164, 26.395804685787, 326, 357, Accidental, 4, 197, 5636, 6381, 18.0457859147209, 18.1179133047175, 247.752971507614, 0, 21.72, 0.329225101256831, 1005.7, 0, 1544834, 25, 33, 28, 4, 107, 
174, 15, 676, 151, 3.68573342261563, 39, 110, Accidental, 1, 10, 110, 175, 11.392596, 11.7416529423527, 28.868544, 0, 3.69, 0.293939326307494, 253.4, 0, 51375, 6, 1, 2, 1, 0, 
175, 15, 766, 122, 5.11743725657761, 75, 128, Accidental, 1, 9, 209, 319, 8.7899616, 7.93810916252844, 74.227979, 0, 5.12, 0.29659343635238, 210, 0, 63900, 4, 4, 1, 0, 0, 
176, 15, 689, 129, 5.23910063527199, 87, 130, Accidental, 1, 15, 134, 225, 9.5681196, 9.74589611975656, 351.613235, 0, 5.24, 0.296819615468279, 226.27, 0, 95056, 6, 9, 0, 0, 0, 
177, 15, 825, 272, 19.8843671827933, 101, 312, Lightning, 1, 37, 1164, 1164, 36.098568972973, 33.2982845873735, 79.454771, 0, 19.92, 0.324811335610112, 2000, 0, 661393, 0, 0, 0, 0, 37, 
178, 15, 683, 316, 13.478937599613, 107, 232, Accidental, 1, 35, 667, 698, 16.9060716, 19.7214714048542, 29.848116, 0, 13.48, 0.312366214256288, 1165.11, 0, 366689, 0, 1, 7, 3, 24, 
179, 15, 790, 133, 18.1734491736852, 108, 291, Accidental, 1, 34, 1020, 1020, 23.6860524, 23.4705783315374, 26.772866, 0, 18.17, 0.321419336739053, 1930.41, 0, 498228, 0, 0, 0, 0, 34, 
180, 15, 687, 170, 20.2615371074853, 109, 317, Accidental, 1, 1, 6, 6, 25.7087484, 26.6686606802668, 50.138024, NaN, 20.26, NaN, 2000, 0, 6033, 0, 0, 0, 0, 1, 
181, 15, 963, 147, 18.0032912951696, 149, 289, Accidental, 1, 10, 95, 135, 10.0466784, 8.87653907553885, 338.662716, 0, 18, 0.321088786965831, 261, 0, 30466, 2, 5, 2, 1, 0, 
182, 15, 778, 489, 15.1243557132059, 162, 253, Accidental, 1, 22, 285, 563, 7.914078, 8.53827760621296, 135.15455, 0, 15.12, 0.315523507214911, 192.05, 0, 117544, 16, 5, 0, 0, 1, 
183, 15, 987, 31, 25.0783695965527, 169, 377, Lightning, 1, 1, 47, 47, 16.840872, 17.1087666425961, 75.492953, NaN, 25.08, NaN, 2000, 0, 15266, 0, 0, 0, 0, 1, 
184, 15, 870, 156, 15.8771819828804, 176, 262, Accidental, 1, 24, 561, 758, 11.2722948, 10.7255969786821, 71.875418, 0, 15.88, 0.316973781094428, 382.67, 0, 254637, 4, 10, 5, 1, 4, 
185, 15, 777, 140, 18.6725128003491, 191, 301, Lightning, 5, 205, 5577, 6484, 11.1835470731707, 14.9347087135364, 155.272292034147, 0, 18.65, 0.322238555292591, 849.02, 0, 2443239, 17, 46, 38, 19, 85, 
186, 15, 720, 340, 19.0234046755212, 237, 302, Lightning, 2, 49, 640, 1206, 8.50722531428572, 9.89535201175657, 334.784700428572, 0, 18.37, 0.321782752522529, 230.49, 0, 316324, 34, 9, 3, 1, 2, 
187, 15, 827, 47, 21.1974385840574, 331, 329, Accidental, 1, 52, 1120, 1120, 27.439416, 27.7661879202188, 207.719678, 0, 21.2, 0.32732339704607, 2000, 0, 637242, 0, 0, 0, 0, 52, 
188, 16, 762, 319, 2.95006577710019, 20, 101, Accidental, 1, 9, 214, 228, 13.8834104, 14.2873428660781, 312.971595666667, 0, 2.92, 0.292508947788085, 668.22, 0, 109709, 0, 0, 2, 3, 4, 
189, 16, 767, 477, 17.3366437347357, 135, 261, Lightning, 2, 59, 1427, 1653, 16.4161915932203, 15.5182406853123, 119.930741661017, 0, 17.07, 0.3195149939504, 604.05, 0, 710712, 8, 10, 7, 9, 25, 
190, 16, 765, 311, 16.1715059418376, 202, 266, Lightning, 1, 15, 141, 299, 6.74991, 7.31586132938221, 353.240919, 0, 16.17, 0.317541748637289, 160, 0, 87749, 13, 2, 0, 0, 0, 
191, 16, 719, 34, 19.1877636819151, 218, 304, Accidental, 1, 2, 47, 47, 9.5844204, 13.2983571495775, 98.501217, 0, 19.19, 0.323393456633606, 657, 0, 28522, 0, 0, 0, 0, 2, 
192, 16, 690, 540, 15.1531856892691, 242, 270, Accidental, 2, 68, 1098, 1665, 8.87212572352941, 12.4913279064446, 277.439276558824, 0, 15.19, 0.315583152275761, 417.97, 0, 749055, 26, 21, 9, 1, 11, 
193, 16, 985, 29, 17.0141050570528, 274, 276, Accidental, 1, 20, 401, 571, 6.4047096, 8.18708172124525, 46.678181, 0, 17.01, 0.319170744874047, 273.5, 0, 113464, 1, 16, 2, 0, 1, 
194, 16, 798, 98, 34.3041962572825, 281, 513, Accidental, 1, 68, 2432, 2432, 29.7186566294117, 30.3114455764016, 265.426537985294, 0, 35.07, 0.355008544698571, 2000, 0, 879787, 0, 0, 0, 0, 68, 
195, 16, 805, 239, 26.1861575322864, 287, 400, Accidental, 1, 15, 536, 537, 17.1676116, 17.7598125591341, 322.800531333333, 0, 26.69, 0.338156322330337, 1389.8, 0, 330225, 0, 0, 0, 1, 14, 
196, 16, 787, 496, 22.1189794869269, 296, 397, Accidental, 2, 106, 2154, 2394, 15.1733588603774, 14.8828842917399, 79.8368130471698, 0, 24.38, 0.332995600914323, 939.39, 0, 1083381, 6, 14, 19, 9, 58, 
