SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,
1, 2375, 62, 524, 1340, 39, 105, 4081435, 126234, 1081090, 2961, 0, 0, 
2, 2249, 67, 560, 1228, 33, 112, 3945176, 127280, 1028511, 2876, 0, 0, 
3, 2279, 52, 516, 1294, 31, 104, 3910606, 83963, 1046484, 2847, 0, 0, 
4, 2066, 60, 520, 1158, 31, 104, 3429525, 102104, 1010835, 2646, 0, 0, 
5, 2420, 69, 556, 1337, 41, 112, 4221879, 108427, 1046117, 3045, 0, 0, 
6, 2452, 60, 560, 1376, 32, 112, 4389783, 88332, 986026, 3072, 0, 0, 
7, 2388, 89, 560, 1302, 41, 112, 4153302, 142812, 1015366, 3037, 0, 0, 
8, 2318, 82, 560, 1312, 46, 112, 4071230, 163719, 1091164, 2960, 0, 0, 
9, 1904, 59, 305, 1086, 32, 61, 3472704, 80595, 576411, 2268, 0, 0, 
10, 1796, 41, 265, 1065, 26, 53, 3210939, 79367, 520925, 2102, 0, 0, 
11, 2151, 75, 560, 1213, 39, 112, 4804619, 159497, 1273799, 2786, 0, 0, 
12, 2212, 73, 520, 1296, 43, 104, 4936031, 164773, 1302877, 2805, 0, 0, 
13, 2211, 76, 560, 1275, 43, 112, 4888979, 162255, 1446506, 2847, 0, 0, 
14, 2171, 58, 265, 1241, 37, 53, 4758944, 119535, 630420, 2494, 0, 0, 
15, 1962, 72, 557, 1150, 39, 112, 4393089, 186057, 1251321, 2591, 0, 0, 
16, 2405, 79, 435, 1328, 44, 87, 5375346, 166186, 964557, 2919, 0, 0, 
17, 2109, 69, 520, 1153, 34, 104, 4673377, 160951, 1307409, 2698, 0, 0, 
18, 2227, 89, 560, 1236, 48, 112, 4967942, 234156, 1307203, 2876, 0, 0, 
19, 1794, 36, 555, 1077, 22, 111, 3934768, 80643, 1230313, 2385, 0, 0, 
20, 2258, 55, 560, 1291, 45, 112, 4966647, 128630, 1216423, 2873, 0, 0, 
21, 2043, 54, 160, 1157, 35, 32, 5273280, 132454, 447647, 2257, 0, 0, 
22, 2334, 81, 560, 1368, 44, 112, 5905607, 217773, 1727226, 2975, 0, 0, 
23, 2390, 69, 560, 1357, 39, 112, 6125163, 217835, 1516682, 3019, 0, 0, 
24, 2179, 44, 556, 1185, 32, 112, 5734076, 111649, 1500863, 2779, 0, 0, 
25, 2244, 75, 545, 1306, 40, 109, 5737604, 196175, 1532854, 2864, 0, 0, 
26, 2208, 55, 520, 1300, 37, 104, 5837530, 124950, 1383474, 2783, 0, 0, 
27, 2300, 96, 480, 1295, 54, 96, 5930043, 234991, 1270704, 2876, 0, 0, 
28, 2188, 72, 560, 1234, 35, 112, 5640690, 202825, 1488293, 2820, 0, 0, 
29, 2118, 58, 466, 1208, 35, 94, 5374517, 129917, 1385832, 2642, 0, 0, 
30, 2244, 66, 560, 1265, 40, 112, 5792810, 205681, 1681756, 2870, 0, 0, 
