EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanSeverity,TotalBiomassMortality,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,PercentsCellsIntensityFactor1,PercentsCellsIntensityFactor2,PercentsCellsIntensityFactor3,
1, 1, 529, 804, 10.0997449369019, 63, 211, Accidental, 1, 2, 18, 20.2129956, 18.7803075201825, 315.858106, 0, 10.1, 0.0633402680370327, 1, 9165, 2, 0, 0, 0, 0, 0, 
2, 1, 596, 735, 10.0997449369019, 63, 211, Accidental, 1, 1, 6, 20.2129956, 21.7448977428421, 315.858106, NaN, 10.1, NaN, 1, 1692, 1, 0, 0, 0, 0, 0, 
3, 1, 824, 226, 10.0997449369019, 63, 211, Accidental, 1, 3, 16, 20.2129956, 18.9796702684263, 315.858106, 0, 10.1, 0.0665512732872859, 1, 4026, 3, 0, 0, 0, 0, 0, 
4, 1, 94, 923, 10.0997449369019, 63, 211, Accidental, 1, 1, 4, 20.2129956, 16.5131456397435, 315.858106, NaN, 10.1, NaN, 1, 622, 1, 0, 0, 0, 0, 0, 
5, 1, 818, 105, 10.0997449369019, 63, 211, Accidental, 1, 1, 5, 20.2129956, 18.4841569409841, 315.858106, NaN, 10.1, NaN, 1, 921, 1, 0, 0, 0, 0, 0, 
6, 1, 141, 997, 10.0997449369019, 63, 211, Accidental, 1, 2, 20, 20.2129956, 17.936332908165, 315.858106, 0, 10.1, 0.0655320792292445, 1, 7067, 2, 0, 0, 0, 0, 0, 
7, 1, 496, 829, 10.0997449369019, 63, 211, Lightning, 1, 2, 4, 20.2129956, 20.6086995551387, 315.858106, 0, 10.1, 0.0619643912096884, 1, 146, 2, 0, 0, 0, 0, 0, 
8, 1, 832, 203, 12.455359039277, 68, 220, Accidental, 1, 1, 12, 32.625198, 36.3994858639264, 12.923846, NaN, 12.46, NaN, 1, 2144, 1, 0, 0, 0, 0, 0, 
9, 1, 247, 1018, 12.455359039277, 68, 220, Accidental, 1, 1, 3, 32.625198, 31.0799312426599, 12.923846, NaN, 12.46, NaN, 1, 399, 1, 0, 0, 0, 0, 0, 
10, 1, 435, 769, 12.455359039277, 68, 220, Accidental, 1, 1, 2, 32.625198, 33.1459094457476, 12.923846, NaN, 12.46, NaN, 1, 69, 1, 0, 0, 0, 0, 0, 
11, 1, 614, 545, 12.455359039277, 68, 220, Accidental, 1, 1, 10, 32.625198, 31.0408889994418, 12.923846, NaN, 12.46, NaN, 1, 6251, 1, 0, 0, 0, 0, 0, 
12, 1, 746, 92, 12.455359039277, 68, 220, Accidental, 1, 1, 5, 32.625198, 31.9888316539872, 12.923846, NaN, 12.46, NaN, 1, 552, 1, 0, 0, 0, 0, 0, 
13, 1, 323, 864, 12.455359039277, 68, 220, Lightning, 1, 1, 2, 32.625198, 28.9310583107476, 12.923846, NaN, 12.46, NaN, 1, 232, 1, 0, 0, 0, 0, 0, 
14, 1, 633, 132, 10.501506288433, 69, 212, Accidental, 1, 1, 7, 30.0742596, 35.6582930047185, 123.94278, NaN, 10.5, NaN, 1, 2450, 1, 0, 0, 0, 0, 0, 
15, 1, 685, 44, 10.501506288433, 69, 212, Accidental, 1, 1, 9, 30.0742596, 29.3804738357397, 123.94278, NaN, 10.5, NaN, 1, 1718, 1, 0, 0, 0, 0, 0, 
16, 1, 296, 1018, 10.501506288433, 69, 212, Accidental, 1, 1, 3, 30.0742596, 21.0977023054889, 123.94278, NaN, 10.5, NaN, 1, 224, 1, 0, 0, 0, 0, 0, 
17, 1, 483, 792, 10.501506288433, 69, 212, Accidental, 1, 1, 9, 30.0742596, 31.2927536513809, 123.94278, NaN, 10.5, NaN, 1, 1537, 1, 0, 0, 0, 0, 0, 
18, 1, 434, 801, 10.501506288433, 69, 212, Accidental, 1, 1, 3, 30.0742596, 31.1194074809247, 123.94278, NaN, 10.5, NaN, 1, 100, 1, 0, 0, 0, 0, 0, 
19, 1, 702, 634, 10.501506288433, 69, 212, Accidental, 1, 1, 12, 30.0742596, 32.9077444165571, 123.94278, NaN, 10.5, NaN, 1, 2148, 1, 0, 0, 0, 0, 0, 
20, 1, 668, 657, 10.3462925495599, 85, 212, Accidental, 1, 2, 17, 27.3795156, 30.0545847021445, 115.486564, 0, 10.35, 0.0522927758650876, 1, 8641, 2, 0, 0, 0, 0, 0, 
21, 1, 302, 1171, 10.3462925495599, 85, 212, Accidental, 1, 1, 0, 27.3795156, 27.0704711672804, 115.486564, NaN, 10.35, NaN, 1, 0, 1, 0, 0, 0, 0, 0, 
22, 1, 102, 969, 10.3462925495599, 85, 212, Accidental, 1, 1, 5, 27.3795156, 34.4145893083278, 115.486564, NaN, 10.35, NaN, 1, 714, 1, 0, 0, 0, 0, 0, 
23, 1, 183, 1090, 10.3462925495599, 85, 212, Accidental, 1, 1, 4, 27.3795156, 24.3878871027004, 115.486564, NaN, 10.35, NaN, 1, 1546, 1, 0, 0, 0, 0, 0, 
24, 1, 500, 348, 10.3462925495599, 85, 212, Accidental, 1, 2, 21, 27.3795156, 30.8110952126351, 115.486564, 0, 10.35, 0.0481412846276448, 1, 7750, 2, 0, 0, 0, 0, 0, 
25, 1, 395, 915, 10.3462925495599, 85, 212, Accidental, 1, 2, 16, 27.3795156, 23.5885861406095, 115.486564, 0, 10.35, 0.059372386273346, 1, 7442, 2, 0, 0, 0, 0, 0, 
