SimulationYear,DayOfYear,AttemptedNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 63, 6, 10.0997449369019, Accidental, 
1, 63, 0, 10.0997449369019, Lightning, 
1, 68, 5, 12.455359039277, Accidental, 
1, 68, 0, 12.455359039277, Lightning, 
1, 69, 6, 10.501506288433, Accidental, 
1, 85, 6, 10.3462925495599, Accidental, 
1, 85, 0, 10.3462925495599, Lightning, 
1, 91, 5, 10.9129653570181, Accidental, 
1, 93, 5, 12.2060510675683, Accidental, 
1, 101, 5, 10.8533257652628, Accidental, 
1, 102, 5, 11.7105201641117, Accidental, 
1, 102, 0, 11.7105201641117, Lightning, 
1, 103, 5, 10.6772262859134, Accidental, 
1, 103, 0, 10.6772262859134, Lightning, 
1, 104, 6, 10.0599475120336, Accidental, 
1, 105, 5, 13.1819331841374, Accidental, 
1, 105, 0, 13.1819331841374, Lightning, 
1, 106, 5, 13.7251611411564, Accidental, 
1, 106, 0, 13.7251611411564, Lightning, 
1, 107, 5, 14.4750367413173, Accidental, 
1, 108, 4, 21.5003891246893, Accidental, 
1, 108, 1, 21.5003891246893, Rx, 
1, 109, 4, 15.9555430949059, Accidental, 
1, 109, 0, 15.9555430949059, Lightning, 
1, 109, 1, 15.9555430949059, Rx, 
1, 110, 5, 11.0475294615986, Accidental, 
1, 113, 4, 16.0706094348796, Accidental, 
1, 113, 0, 16.0706094348796, Lightning, 
1, 113, 1, 16.0706094348796, Rx, 
1, 114, 5, 16.8699614887255, Accidental, 
1, 114, 0, 16.8699614887255, Lightning, 
1, 114, 1, 16.8699614887255, Rx, 
1, 115, 5, 13.8321866515984, Accidental, 
1, 115, 0, 13.8321866515984, Lightning, 
1, 116, 5, 11.0054738315736, Accidental, 
1, 116, 0, 11.0054738315736, Lightning, 
1, 117, 5, 11.8346244999367, Accidental, 
1, 119, 6, 11.8667731937413, Accidental, 
1, 121, 5, 15.8475865398042, Accidental, 
1, 121, 0, 15.8475865398042, Lightning, 
1, 121, 1, 15.8475865398042, Rx, 
1, 122, 4, 16.7452279273579, Accidental, 
1, 122, 0, 16.7452279273579, Lightning, 
1, 122, 1, 16.7452279273579, Rx, 
1, 123, 5, 13.2074504904606, Accidental, 
1, 123, 0, 13.2074504904606, Lightning, 
1, 124, 5, 10.387721529998, Accidental, 
1, 125, 5, 12.445310196604, Accidental, 
1, 126, 5, 12.8437300333372, Accidental, 
1, 126, 0, 12.8437300333372, Lightning, 
1, 131, 6, 10.2021313580319, Accidental, 
1, 131, 0, 10.2021313580319, Lightning, 
1, 132, 5, 10.0824175119379, Accidental, 
1, 134, 6, 11.2736700549714, Accidental, 
1, 134, 0, 11.2736700549714, Lightning, 
1, 135, 6, 11.8330706052246, Accidental, 
1, 135, 0, 11.8330706052246, Lightning, 
1, 136, 5, 11.8566613886641, Accidental, 
1, 136, 0, 11.8566613886641, Lightning, 
1, 138, 5, 10.0233790191919, Accidental, 
1, 138, 0, 10.0233790191919, Lightning, 
1, 139, 5, 11.2644808083256, Accidental, 
1, 139, 0, 11.2644808083256, Lightning, 
1, 140, 6, 12.6374514970146, Accidental, 
1, 141, 5, 10.0110630156524, Accidental, 
1, 142, 5, 12.8996020981544, Accidental, 
1, 143, 5, 15.2848182091255, Accidental, 
1, 143, 0, 15.2848182091255, Lightning, 
1, 143, 1, 15.2848182091255, Rx, 
1, 144, 5, 11.2861131174844, Accidental, 
1, 144, 0, 11.2861131174844, Lightning, 
1, 147, 5, 12.6581720841346, Accidental, 
1, 147, 0, 12.6581720841346, Lightning, 
1, 148, 5, 16.0944604399264, Accidental, 
1, 148, 0, 16.0944604399264, Lightning, 
1, 148, 1, 16.0944604399264, Rx, 
1, 150, 5, 12.0711357393172, Accidental, 
1, 150, 0, 12.0711357393172, Lightning, 
1, 151, 5, 10.0585177573461, Accidental, 
1, 151, 0, 10.0585177573461, Lightning, 
1, 152, 6, 10.182275001827, Accidental, 
1, 153, 5, 15.7993561102396, Accidental, 
1, 153, 0, 15.7993561102396, Lightning, 
1, 153, 1, 15.7993561102396, Rx, 
1, 157, 6, 11.5329281534552, Accidental, 
1, 157, 0, 11.5329281534552, Lightning, 
1, 158, 5, 10.1124987813337, Accidental, 
1, 162, 6, 10.6589893570279, Accidental, 
1, 162, 0, 10.6589893570279, Lightning, 
1, 167, 5, 13.4269355467235, Accidental, 
1, 168, 5, 14.0681021195327, Accidental, 
1, 168, 0, 14.0681021195327, Lightning, 
1, 169, 6, 11.7389726914081, Accidental, 
1, 170, 5, 10.9511884896192, Accidental, 
1, 171, 5, 11.9446507756535, Accidental, 
1, 171, 0, 11.9446507756535, Lightning, 
1, 173, 6, 12.4979152270158, Accidental, 
1, 173, 0, 12.4979152270158, Lightning, 
1, 174, 5, 13.369444738176, Accidental, 
1, 174, 0, 13.369444738176, Lightning, 
1, 175, 5, 12.807812911779, Accidental, 
1, 175, 0, 12.807812911779, Lightning, 
1, 176, 6, 10.8938706567714, Accidental, 
1, 176, 0, 10.8938706567714, Lightning, 
1, 177, 6, 12.0775439397, Accidental, 
1, 177, 0, 12.0775439397, Lightning, 
1, 178, 5, 12.9766033359637, Accidental, 
1, 178, 0, 12.9766033359637, Lightning, 
1, 179, 5, 13.3292861362991, Accidental, 
1, 179, 0, 13.3292861362991, Lightning, 
1, 180, 5, 14.6796043212131, Accidental, 
1, 181, 5, 15.3927602108925, Accidental, 
1, 181, 0, 15.3927602108925, Lightning, 
1, 181, 1, 15.3927602108925, Rx, 
1, 182, 5, 12.4926605501971, Accidental, 
1, 182, 0, 12.4926605501971, Lightning, 
1, 183, 5, 14.2951613830638, Accidental, 
1, 183, 0, 14.2951613830638, Lightning, 
1, 184, 5, 14.5432830054546, Accidental, 
1, 185, 5, 13.8879388116686, Accidental, 
1, 185, 0, 13.8879388116686, Lightning, 
1, 186, 5, 13.8744684345628, Accidental, 
1, 187, 5, 12.3333692065861, Accidental, 
1, 188, 5, 17.1028633089999, Accidental, 
1, 188, 0, 17.1028633089999, Lightning, 
1, 188, 1, 17.1028633089999, Rx, 
1, 189, 4, 20.1106839715268, Accidental, 
1, 189, 0, 20.1106839715268, Lightning, 
1, 189, 1, 20.1106839715268, Rx, 
1, 190, 5, 17.9759815074134, Accidental, 
1, 190, 0, 17.9759815074134, Lightning, 
1, 190, 1, 17.9759815074134, Rx, 
1, 191, 4, 16.484449926803, Accidental, 
1, 191, 0, 16.484449926803, Lightning, 
1, 191, 1, 16.484449926803, Rx, 
1, 192, 4, 16.6454717767267, Accidental, 
1, 192, 1, 16.6454717767267, Rx, 
1, 193, 4, 19.3158252599791, Accidental, 
1, 193, 0, 19.3158252599791, Lightning, 
1, 193, 1, 19.3158252599791, Rx, 
1, 194, 5, 20.2037587395768, Accidental, 
1, 194, 0, 20.2037587395768, Lightning, 
1, 194, 1, 20.2037587395768, Rx, 
1, 195, 5, 20.1528296668882, Accidental, 
1, 195, 0, 20.1528296668882, Lightning, 
1, 195, 1, 20.1528296668882, Rx, 
1, 196, 4, 18.2462106098853, Accidental, 
1, 196, 1, 18.2462106098853, Rx, 
1, 197, 4, 21.0075861456915, Accidental, 
1, 197, 0, 21.0075861456915, Lightning, 
1, 197, 1, 21.0075861456915, Rx, 
1, 198, 5, 15.0019907533854, Accidental, 
1, 198, 1, 15.0019907533854, Rx, 
1, 199, 5, 12.5035330683046, Accidental, 
1, 200, 5, 13.535911005465, Accidental, 
1, 201, 5, 14.3128921354191, Accidental, 
1, 202, 4, 16.8085154994852, Accidental, 
1, 202, 0, 16.8085154994852, Lightning, 
1, 202, 1, 16.8085154994852, Rx, 
1, 203, 5, 16.9591323115913, Accidental, 
1, 203, 0, 16.9591323115913, Lightning, 
1, 203, 1, 16.9591323115913, Rx, 
1, 204, 5, 15.5845468985076, Accidental, 
1, 204, 0, 15.5845468985076, Lightning, 
1, 204, 1, 15.5845468985076, Rx, 
1, 205, 5, 15.2551222263559, Accidental, 
1, 205, 0, 15.2551222263559, Lightning, 
1, 205, 1, 15.2551222263559, Rx, 
1, 206, 4, 18.9676101294051, Accidental, 
1, 206, 1, 18.9676101294051, Rx, 
1, 207, 5, 20.3602119240605, Accidental, 
1, 207, 0, 20.3602119240605, Lightning, 
1, 207, 1, 20.3602119240605, Rx, 
1, 208, 5, 15.9291277694373, Accidental, 
1, 208, 1, 15.9291277694373, Rx, 
1, 209, 5, 14.4180282455965, Accidental, 
