SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,
1, 1884, 287, 3296, 1114, 154, 103, 4213444, 612255, 7306942, 5467, 0, 0, 
2, 1739, 252, 1504, 1052, 135, 47, 4125780, 537648, 3564497, 3418, 77, 0, 
3, 2005, 260, 3296, 1115, 136, 103, 4595382, 593810, 7500288, 5439, 122, 0, 
4, 1625, 216, 2368, 943, 127, 74, 3780422, 531210, 5696250, 4039, 170, 0, 
5, 1902, 309, 3296, 1062, 157, 103, 4570939, 833652, 7485713, 5232, 275, 0, 
