SimulationYear,DayOfYear,AttemptedNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 161, 0, 19.9738103094285, Lightning, 
1, 161, 1, 19.9738103094285, Rx, 
1, 162, 5, 19.7674050773882, Accidental, 
1, 162, 0, 19.7674050773882, Lightning, 
1, 162, 1, 19.7674050773882, Rx, 
1, 163, 5, 17.0317718806492, Accidental, 
1, 163, 0, 17.0317718806492, Lightning, 
1, 163, 1, 17.0317718806492, Rx, 
1, 164, 5, 15.0189433187716, Accidental, 
1, 164, 1, 15.0189433187716, Rx, 
1, 165, 5, 13.9298866041036, Accidental, 
1, 165, 0, 13.9298866041036, Lightning, 
1, 166, 4, 15.5428440478382, Accidental, 
1, 166, 0, 15.5428440478382, Lightning, 
1, 166, 1, 15.5428440478382, Rx, 
1, 167, 5, 15.1914697394679, Accidental, 
1, 167, 1, 15.1914697394679, Rx, 
1, 168, 5, 13.7554736055172, Accidental, 
1, 169, 5, 14.887144024606, Accidental, 
1, 169, 0, 14.887144024606, Lightning, 
1, 170, 5, 15.8940834160829, Accidental, 
1, 170, 1, 15.8940834160829, Rx, 
1, 171, 5, 16.6142188096662, Accidental, 
1, 171, 0, 16.6142188096662, Lightning, 
1, 171, 1, 16.6142188096662, Rx, 
1, 172, 5, 18.852696135591, Accidental, 
1, 172, 1, 18.852696135591, Rx, 
1, 173, 5, 18.6142211983725, Accidental, 
1, 173, 0, 18.6142211983725, Lightning, 
1, 173, 1, 18.6142211983725, Rx, 
1, 174, 5, 18.355100883461, Accidental, 
1, 174, 1, 18.355100883461, Rx, 
1, 175, 5, 15.9421883580004, Accidental, 
1, 175, 0, 15.9421883580004, Lightning, 
1, 175, 1, 15.9421883580004, Rx, 
1, 176, 5, 17.753814126343, Accidental, 
1, 176, 0, 17.753814126343, Lightning, 
1, 176, 1, 17.753814126343, Rx, 
1, 177, 4, 24.8617235425938, Accidental, 
1, 177, 1, 24.8617235425938, Rx, 
1, 178, 4, 25.9101720918551, Accidental, 
1, 178, 0, 25.9101720918551, Lightning, 
1, 178, 1, 25.9101720918551, Rx, 
1, 179, 4, 18.6453323862613, Accidental, 
1, 179, 0, 18.6453323862613, Lightning, 
1, 179, 1, 18.6453323862613, Rx, 
1, 180, 5, 17.0851182554365, Accidental, 
1, 180, 1, 17.0851182554365, Rx, 
1, 181, 5, 17.3980978923919, Accidental, 
