"","FRI","mean","ID","Model","rep"
"94",4,NA,"XeriredOaks","IPSL-CM5A-MR",1
"95",5,1253.78723070143,"XeriredOaks","IPSL-CM5A-MR",1
"96",1,32.5947551995866,"XeriHwd","IPSL-CM5A-MR",1
"97",2,38.5529081114841,"XeriHwd","IPSL-CM5A-MR",1
"98",3,42.5679454514131,"XeriHwd","IPSL-CM5A-MR",1
"99",4,NA,"XeriHwd","IPSL-CM5A-MR",1
"100",5,45.7781278652152,"XeriHwd","IPSL-CM5A-MR",1
"101",1,524.071437798734,"WhitePine","IPSL-CM5A-MR",1
"102",2,579.575970021079,"WhitePine","IPSL-CM5A-MR",1
"103",3,601.130686300289,"WhitePine","IPSL-CM5A-MR",1
"104",4,NA,"WhitePine","IPSL-CM5A-MR",1
"105",5,714.011777459209,"WhitePine","IPSL-CM5A-MR",1
"106",1,634.048314171296,"Maples","IPSL-CM5A-MR",1
"107",2,1055.36244827855,"Maples","IPSL-CM5A-MR",1
"108",3,1362.63711044819,"Maples","IPSL-CM5A-MR",1
"109",4,NA,"Maples","IPSL-CM5A-MR",1
"110",5,1644.18009634721,"Maples","IPSL-CM5A-MR",1
"111",1,2158.34737114068,"MesicHard","IPSL-CM5A-MR",1
"112",2,2971.2969318448,"MesicHard","IPSL-CM5A-MR",1
"113",3,3659.2524504248,"MesicHard","IPSL-CM5A-MR",1
"114",4,NA,"MesicHard","IPSL-CM5A-MR",1
"115",5,3990.87533622746,"MesicHard","IPSL-CM5A-MR",1
"116",1,0,"Hemlock","IPSL-CM5A-MR",1
"117",2,0.498508860957139,"Hemlock","IPSL-CM5A-MR",1
"118",3,1.11401162421682,"Hemlock","IPSL-CM5A-MR",1
"119",4,NA,"Hemlock","IPSL-CM5A-MR",1
"120",5,1.41467294122415,"Hemlock","IPSL-CM5A-MR",1
"121",1,29.4107883817427,"Yellowpines","MRI-CGCM3",1
"122",2,54.9792155329685,"Yellowpines","MRI-CGCM3",1
"123",3,56.5189764585466,"Yellowpines","MRI-CGCM3",1
"124",4,NA,"Yellowpines","MRI-CGCM3",1
"125",5,68.6661482348085,"Yellowpines","MRI-CGCM3",1
"126",1,4196.94190871369,"Whiteoaks","MRI-CGCM3",1
"127",2,4846.13004951785,"Whiteoaks","MRI-CGCM3",1
"128",3,5429.24230638008,"Whiteoaks","MRI-CGCM3",1
"129",4,NA,"Whiteoaks","MRI-CGCM3",1
"130",5,5931.39506572156,"Whiteoaks","MRI-CGCM3",1
"131",1,1263.6846473029,"XeriredOaks","MRI-CGCM3",1
"132",2,1431.89803231691,"XeriredOaks","MRI-CGCM3",1
"133",3,1587.95320368475,"XeriredOaks","MRI-CGCM3",1
"134",4,NA,"XeriredOaks","MRI-CGCM3",1
"135",5,1660.84195513041,"XeriredOaks","MRI-CGCM3",1
"136",1,43.7800829875519,"XeriHwd","MRI-CGCM3",1
"137",2,33.3794631222309,"XeriHwd","MRI-CGCM3",1
"138",3,28.5097645854657,"XeriHwd","MRI-CGCM3",1
"139",4,NA,"XeriHwd","MRI-CGCM3",1
"140",5,22.5506537746886,"XeriHwd","MRI-CGCM3",1
"141",1,467.070539419087,"WhitePine","MRI-CGCM3",1
"142",2,524.425853531405,"WhitePine","MRI-CGCM3",1
"143",3,581.366045718185,"WhitePine","MRI-CGCM3",1
"144",4,NA,"WhitePine","MRI-CGCM3",1
"145",5,666.22441332324,"WhitePine","MRI-CGCM3",1
"146",1,639.526970954357,"Maples","MRI-CGCM3",1
"147",2,1001.10118582226,"Maples","MRI-CGCM3",1
"148",3,1190.37690890481,"Maples","MRI-CGCM3",1
"149",4,NA,"Maples","MRI-CGCM3",1
"150",5,1417.82090014452,"Maples","MRI-CGCM3",1
"151",1,2654.04149377593,"MesicHard","MRI-CGCM3",1
"152",2,3303.52378160021,"MesicHard","MRI-CGCM3",1
"153",3,3777.62335039236,"MesicHard","MRI-CGCM3",1
"154",4,NA,"MesicHard","MRI-CGCM3",1
"155",5,4129.2496627899,"MesicHard","MRI-CGCM3",1
"156",1,0,"Hemlock","MRI-CGCM3",1
"157",2,0.548735991660151,"Hemlock","MRI-CGCM3",1
"158",3,1.26027976799727,"Hemlock","MRI-CGCM3",1
"159",4,NA,"Hemlock","MRI-CGCM3",1
"160",5,2.20953822861469,"Hemlock","MRI-CGCM3",1
"161",1,41.7662659399692,"Yellowpines","HadGEM",2
"162",2,74.7281312539772,"Yellowpines","HadGEM",2
"163",3,93.5832672810514,"Yellowpines","HadGEM",2
"164",4,NA,"Yellowpines","HadGEM",2
"165",5,82.1751342984613,"Yellowpines","HadGEM",2
"166",1,2642.97388322424,"Whiteoaks","HadGEM",2
"167",2,3567.07395486531,"Whiteoaks","HadGEM",2
"168",3,3933.71923245277,"Whiteoaks","HadGEM",2
"169",4,NA,"Whiteoaks","HadGEM",2
"170",5,4134.05386506419,"Whiteoaks","HadGEM",2
"171",1,534.996609904295,"XeriredOaks","HadGEM",2
"172",2,805.221864595918,"XeriredOaks","HadGEM",2
"173",3,910.144613091365,"XeriredOaks","HadGEM",2
"174",4,NA,"XeriredOaks","HadGEM",2
"175",5,1016.30387872166,"XeriredOaks","HadGEM",2
"176",1,28.6802487808694,"XeriHwd","HadGEM",2
"177",2,31.2289751085944,"XeriHwd","HadGEM",2
"178",3,33.8087520259319,"XeriHwd","HadGEM",2
"179",4,NA,"XeriHwd","HadGEM",2
"180",5,37.161030683784,"XeriHwd","HadGEM",2
"181",1,390.588716196834,"WhitePine","HadGEM",2
"182",2,438.426879766856,"WhitePine","HadGEM",2
"183",3,533.786735913119,"WhitePine","HadGEM",2
"184",4,NA,"WhitePine","HadGEM",2
"185",5,717.335973777656,"WhitePine","HadGEM",2
"186",1,527.779695934493,"Maples","HadGEM",2
"187",2,1160.18753861903,"Maples","HadGEM",2
"188",3,1617.18592435732,"Maples","HadGEM",2
"189",4,NA,"Maples","HadGEM",2
"190",5,1976.04717290358,"Maples","HadGEM",2
"191",1,1650.58600412027,"MesicHard","HadGEM",2
"192",2,2727.17350204277,"MesicHard","HadGEM",2
"193",3,3176.87832578168,"MesicHard","HadGEM",2
"194",4,NA,"MesicHard","HadGEM",2
"195",5,3455.58844577984,"MesicHard","HadGEM",2
"196",1,0.0503689988786607,"Hemlock","HadGEM",2
"197",2,0.213103263826765,"Hemlock","HadGEM",2
"198",3,0.525251688769535,"Hemlock","HadGEM",2
"199",4,NA,"Hemlock","HadGEM",2
"200",5,0.625940089228808,"Hemlock","HadGEM",2
"201",1,56.2080536912752,"Yellowpines","CNRM-CM5",2
"202",2,65.3909842643313,"Yellowpines","CNRM-CM5",2
"203",3,77.369141642076,"Yellowpines","CNRM-CM5",2
"204",4,NA,"Yellowpines","CNRM-CM5",2
"205",5,87.4955984993385,"Yellowpines","CNRM-CM5",2
"206",1,5045.41163310962,"Whiteoaks","CNRM-CM5",2
"207",2,5580.51585778584,"Whiteoaks","CNRM-CM5",2
"208",3,5750.64714242319,"Whiteoaks","CNRM-CM5",2
"209",4,NA,"Whiteoaks","CNRM-CM5",2
"210",5,5846.60083102816,"Whiteoaks","CNRM-CM5",2
"211",1,1078.06599552573,"XeriredOaks","CNRM-CM5",2
"212",2,1524.04926555249,"XeriredOaks","CNRM-CM5",2
"213",3,1590.17156309668,"XeriredOaks","CNRM-CM5",2
"214",4,NA,"XeriredOaks","CNRM-CM5",2
"215",5,1561.725783987,"XeriredOaks","CNRM-CM5",2
"216",1,29.3948545861298,"XeriHwd","CNRM-CM5",2
"217",2,39.9982554691044,"XeriHwd","CNRM-CM5",2
"218",3,42.2149691893768,"XeriHwd","CNRM-CM5",2
"219",4,NA,"XeriHwd","CNRM-CM5",2
"220",5,43.4101911519943,"XeriHwd","CNRM-CM5",2
"221",1,529.192393736018,"WhitePine","CNRM-CM5",2
"222",2,601.939115871742,"WhitePine","CNRM-CM5",2
"223",3,626.045228692935,"WhitePine","CNRM-CM5",2
"224",4,NA,"WhitePine","CNRM-CM5",2
"225",5,692.670479102086,"WhitePine","CNRM-CM5",2
"226",1,960.56711409396,"Maples","CNRM-CM5",2
"227",2,1083.03670493004,"Maples","CNRM-CM5",2
"228",3,1268.57908783197,"Maples","CNRM-CM5",2
"229",4,NA,"Maples","CNRM-CM5",2
"230",5,1509.51646343593,"Maples","CNRM-CM5",2
"231",1,3029.39485458613,"MesicHard","CNRM-CM5",2
"232",2,3632.86752032378,"MesicHard","CNRM-CM5",2
"233",3,3981.23701397327,"MesicHard","CNRM-CM5",2
"234",4,NA,"MesicHard","CNRM-CM5",2
"235",5,4258.54801302022,"MesicHard","CNRM-CM5",2
"236",1,2.42953020134228,"Hemlock","CNRM-CM5",2
"237",2,1.07731760929486,"Hemlock","CNRM-CM5",2
"238",3,1.22670760284673,"Hemlock","CNRM-CM5",2
"239",4,NA,"Hemlock","CNRM-CM5",2
"240",5,1.89239310502691,"Hemlock","CNRM-CM5",2
"241",1,40.1231335651462,"Yellowpines","IPSL-CM5A-MR",2
"242",2,56.6918456702343,"Yellowpines","IPSL-CM5A-MR",2
"243",3,71.9274666567041,"Yellowpines","IPSL-CM5A-MR",2
"244",4,NA,"Yellowpines","IPSL-CM5A-MR",2
"245",5,100.729520793337,"Yellowpines","IPSL-CM5A-MR",2
"246",1,3763.11904274903,"Whiteoaks","IPSL-CM5A-MR",2
"247",2,4509.01272359853,"Whiteoaks","IPSL-CM5A-MR",2
"248",3,5041.89433817761,"Whiteoaks","IPSL-CM5A-MR",2
"249",4,NA,"Whiteoaks","IPSL-CM5A-MR",2
"250",5,5242.51440329218,"Whiteoaks","IPSL-CM5A-MR",2
"251",1,730.20904070362,"XeriredOaks","IPSL-CM5A-MR",2
