Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_AcerPens,CohortsHarvested_AmelArbo,CohortsHarvested_AescBuck,CohortsHarvested_AcerRubr,CohortsHarvested_AcerSacc,CohortsHarvested_BetuAlle,CohortsHarvested_BetuNigr,CohortsHarvested_BetuLent,CohortsHarvested_CaryOvat,CohortsHarvested_CaryAlba,CohortsHarvested_CaryGlab,CohortsHarvested_CaryCodi,CohortsHarvested_CornFlor,CohortsHarvested_FraxPenn,CohortsHarvested_FraxAmer,CohortsHarvested_FaguGran,CohortsHarvested_JuglNigr,CohortsHarvested_HaleDipt,CohortsHarvested_IlexOpac,CohortsHarvested_LiriTuli,CohortsHarvested_LiquStyr,CohortsHarvested_MagnAcum,CohortsHarvested_MagnMacr,CohortsHarvested_NyssSylv,CohortsHarvested_OxydArbo,CohortsHarvested_PrunSero,CohortsHarvested_PrunPenn,CohortsHarvested_PlanOcid,CohortsHarvested_QuerAlba,CohortsHarvested_QuerCocc,CohortsHarvested_QuerFalc,CohortsHarvested_QuerRubr,CohortsHarvested_QuerPrin,CohortsHarvested_QuerVelu,CohortsHarvested_QuerStel,CohortsHarvested_RobiPseu,CohortsHarvested_SassAlid,CohortsHarvested_TiliAmer,CohortsHarvested_TiliAmhe,CohortsHarvested_TsugCana,CohortsHarvested_PinuVirg,CohortsHarvested_PinuTaed,CohortsHarvested_PinuStro,CohortsHarvested_PinuRigi,CohortsHarvested_PinuPung,CohortsHarvested_FrasFirr,CohortsHarvested_PiceRube,CohortsHarvested_PinuEnch,BiomassHarvestedMg_AcerPens,BiomassHarvestedMg_AmelArbo,BiomassHarvestedMg_AescBuck,BiomassHarvestedMg_AcerRubr,BiomassHarvestedMg_AcerSacc,BiomassHarvestedMg_BetuAlle,BiomassHarvestedMg_BetuNigr,BiomassHarvestedMg_BetuLent,BiomassHarvestedMg_CaryOvat,BiomassHarvestedMg_CaryAlba,BiomassHarvestedMg_CaryGlab,BiomassHarvestedMg_CaryCodi,BiomassHarvestedMg_CornFlor,BiomassHarvestedMg_FraxPenn,BiomassHarvestedMg_FraxAmer,BiomassHarvestedMg_FaguGran,BiomassHarvestedMg_JuglNigr,BiomassHarvestedMg_HaleDipt,BiomassHarvestedMg_IlexOpac,BiomassHarvestedMg_LiriTuli,BiomassHarvestedMg_LiquStyr,BiomassHarvestedMg_MagnAcum,BiomassHarvestedMg_MagnMacr,BiomassHarvestedMg_NyssSylv,BiomassHarvestedMg_OxydArbo,BiomassHarvestedMg_PrunSero,BiomassHarvestedMg_PrunPenn,BiomassHarvestedMg_PlanOcid,BiomassHarvestedMg_QuerAlba,BiomassHarvestedMg_QuerCocc,BiomassHarvestedMg_QuerFalc,BiomassHarvestedMg_QuerRubr,BiomassHarvestedMg_QuerPrin,BiomassHarvestedMg_QuerVelu,BiomassHarvestedMg_QuerStel,BiomassHarvestedMg_RobiPseu,BiomassHarvestedMg_SassAlid,BiomassHarvestedMg_TiliAmer,BiomassHarvestedMg_TiliAmhe,BiomassHarvestedMg_TsugCana,BiomassHarvestedMg_PinuVirg,BiomassHarvestedMg_PinuTaed,BiomassHarvestedMg_PinuStro,BiomassHarvestedMg_PinuRigi,BiomassHarvestedMg_PinuPung,BiomassHarvestedMg_FrasFirr,BiomassHarvestedMg_PiceRube,BiomassHarvestedMg_PinuEnch,
5, 1, CommercialThin, 328, 0, 1614, 90000.5, 12, 19, 2, 292, 0, 571, 0, 70, 0, 0, 0, 0, 13, 5, 7, 22, 0, 6, 2, 156, 20, 9, 12, 40, 179, 38, 10, 2, 0, 0, 0, 0, 0, 0, 0, 22, 10, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 166.9375, 543.25, 14.5, 8820.4375, 0, 64848.875, 0, 2040.0625, 0, 0, 0, 0, 60.875, 106.1875, 131, 522.1875, 0, 122.5625, 15.4375, 4449.625, 446.125, 300.5625, 207.6875, 724.0625, 2935.4375, 616.9375, 105.0625, 38.375, 0, 0, 0, 0, 0, 0, 0, 216.375, 41.0625, 0, 0, 0, 2526.875, 0, 0, 0, 0, 0, 0, 0, 
5, 2, EconomicHarvest, 148, 2875, 0, 103951.3125, 0, 13, 4, 404, 9, 12, 0, 57, 2, 35, 49, 0, 51, 5, 2, 18, 0, 6, 20, 240, 32, 2, 9, 174, 295, 32, 1, 0, 231, 171, 34, 27, 314, 53, 16, 55, 29, 0, 0, 52, 76, 81, 157, 17, 0, 0, 0, 90, 0, 154.6875, 5, 11444.5625, 547.875, 218.625, 0, 1347.375, 37.875, 2473.25, 1495, 0, 202.8125, 57.5625, 162, 285.75, 0, 14.75, 66.75, 8463.5, 611.4375, 5, 96.9375, 3024.625, 5275.125, 432.375, 1.25, 0, 15480.4375, 10433.625, 978.1875, 2258.6875, 15471.25, 2107.8125, 506.0625, 629.3125, 157.625, 0, 0, 469.8125, 2677, 4722.3125, 6574.9375, 940.6875, 0, 0, 0, 4119.4375, 
5, 2, CommercialThin, 24, 0, 182, 3431.5625, 2, 2, 0, 46, 0, 2, 0, 3, 0, 0, 0, 0, 4, 0, 0, 1, 0, 1, 1, 31, 13, 5, 0, 3, 30, 15, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 34, 41.6875, 0, 1037.8125, 0, 41.1875, 0, 67.5, 0, 0, 0, 0, 20.875, 0, 0, 5.25, 0, 5.625, 12.1875, 645.6875, 247.875, 156.6875, 0, 90.1875, 573.25, 67.4375, 4.5625, 12.75, 0, 0, 0, 0, 0, 0, 0, 27.5625, 2.25, 0, 0, 0, 337.1875, 0, 0, 0, 0, 0, 0, 0, 
5, 4, EconomicHarvest, 2513, 44289, 0, 1302538.625, 5, 129, 30, 5518, 70, 12, 0, 302, 7, 589, 1062, 5, 1181, 67, 19, 191, 5, 86, 458, 3484, 1068, 42, 212, 1377, 4341, 995, 1, 30, 3793, 1817, 1470, 418, 2790, 723, 963, 143, 286, 49, 2, 395, 2440, 3488, 2220, 94, 2, 0, 0, 1910, 17.125, 805.875, 205.375, 90011.4375, 1935.5625, 357, 0, 8023, 48.3125, 17769.4375, 35336.625, 109.5625, 5424.8125, 228.1875, 427.125, 2544.5, 127.0625, 696.6875, 2273.4375, 107612.1875, 20375.625, 324.75, 1980.6875, 10512.9375, 73654.875, 12257.625, 72.1875, 1159.375, 191202.3125, 98047.8125, 46623.125, 21258.4375, 128109.3125, 23806.1875, 17361.5625, 1668.625, 1291.4375, 1256.4375, 135.875, 6557.25, 68339.4375, 162260.875, 64464.5, 3410.1875, 36.375, 0, 0, 72417.5, 
5, 5, EconomicHarvest, 4042, 74091, 0, 2485609.875, 52, 388, 169, 10314, 341, 73, 2, 1381, 56, 997, 2067, 23, 1174, 82, 134, 379, 20, 211, 484, 6621, 899, 87, 439, 2867, 7087, 1082, 2, 45, 5920, 3998, 1410, 1442, 7192, 1339, 735, 941, 847, 224, 1, 1115, 3182, 2427, 3691, 263, 14, 0, 0, 1874, 120.25, 4030.625, 934.875, 239497.625, 7612.5625, 1326.625, 22.625, 34128.4375, 1466.375, 22039.0625, 73058, 952.375, 4821.625, 490.8125, 4450.4375, 7664.125, 432.8125, 3004.4375, 1960.5, 264831.5625, 16797.1875, 1377.25, 5083.6875, 32346.25, 117186.1875, 15324.8125, 81.875, 1668.8125, 332786.625, 233769.6875, 48399, 86014.625, 409363, 55461.75, 15056.25, 12758.6875, 4838.6875, 5061.875, 24.9375, 17345.3125, 88073.0625, 116407.75, 120059.1875, 10498.4375, 290, 0, 0, 66689.1875, 
5, 5, CommercialThin, 86, 0, 514, 10719.5, 2, 4, 0, 132, 0, 0, 0, 30, 0, 0, 0, 0, 12, 1, 4, 2, 0, 2, 0, 93, 17, 1, 2, 15, 95, 26, 1, 1, 0, 0, 0, 0, 0, 0, 0, 14, 10, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 5.4375, 28.125, 0, 3129.5625, 0, 0, 0, 896.375, 0, 0, 0, 0, 72.375, 1.125, 109.5625, 49.375, 0, 17.25, 0, 2302, 661.625, 35.4375, 45.375, 150.375, 1826.75, 250.8125, 39.4375, 12.75, 0, 0, 0, 0, 0, 0, 0, 202.875, 53.8125, 0, 0, 0, 829.0625, 0, 0, 0, 0, 0, 0, 0, 
5, 6, EconomicHarvest, 123, 2496, 0, 89201.25, 0, 2, 7, 316, 0, 2, 0, 48, 1, 43, 73, 1, 52, 2, 0, 19, 0, 6, 15, 223, 18, 5, 3, 147, 265, 25, 0, 2, 216, 137, 9, 32, 313, 69, 6, 41, 25, 2, 0, 77, 100, 17, 92, 0, 0, 0, 0, 85, 0, 2.5, 8.75, 8241.4375, 0, 27.875, 0, 930.0625, 5.5, 3457.75, 2842.75, 67.3125, 299.3125, 5.8125, 0, 174.4375, 0, 7.5, 57, 9444.625, 340.5625, 95, 43.25, 2423.6875, 4114, 451.125, 0, 5.4375, 13578.125, 6775.8125, 314.0625, 3971.625, 16509.5625, 2315.125, 275.75, 381.375, 151.6875, 12.9375, 0, 805.9375, 3293.375, 726.3125, 3886, 0, 0, 0, 0, 3157.875, 
5, 7, EconomicHarvest, 56, 1008, 0, 37091.8125, 0, 0, 12, 160, 6, 0, 0, 24, 2, 4, 22, 0, 6, 0, 2, 12, 1, 12, 7, 97, 2, 1, 17, 24, 84, 9, 0, 1, 58, 33, 11, 32, 82, 13, 1, 19, 5, 16, 0, 68, 36, 6, 102, 1, 0, 0, 0, 20, 0, 0, 97.125, 3554.375, 99.75, 0, 0, 1142.3125, 8.6875, 100.375, 743.6875, 0, 18.5625, 0, 9.625, 153.5625, 4.1875, 444.375, 30.875, 4465.5, 87.1875, 62, 268.3125, 211.125, 1313.5, 117.375, 0, 1.25, 2762, 1523.8125, 507.125, 1999.875, 6572.9375, 636.125, 1.25, 157, 20.375, 270.5, 0, 2233.1875, 859.625, 366, 5448.5625, 1.25, 0, 0, 0, 798.4375, 
