SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass
AcerPens,6,FALSE,1349.14,2944.31,-18,0.072,1,TRUE,0.175,0.334,0.125,0.312,51.1,26,512,50,55,270,5000
AcerRubr,4,FALSE,1360.7,6493.2,-20,0.372,1,FALSE,0.263,0.225,0.3104,0.204,40.7,43,398,84,55,450,15000
AcerSacc,4,FALSE,1334.9,4177.35,-18,0.072,1,TRUE,0.175,0.334,0.125,0.312,51.1,26,512,50,55,270,20000
AescBuck,4,FALSE,2050.82,3794.01,-1,0.175,1,FALSE,0.175,0.334,0.125,0.312,28.2,26,565,50,55,450,5000
AmelArbo,5,FALSE,1625.14,5993,-17,0.3,1,FALSE,0.175,0.27,0.2,0.251,18.1,25,108,49,65,350,5000
BetuAlle,6,FALSE,1259.12,3223.14,-18,0.2,1,FALSE,0.219,0.27,0.2018,0.251,21,26,365,50,65,220,5000
BetuLent,5,FALSE,1649.98,3578.13,-18,0.2,1,TRUE,0.219,0.27,0.2018,0.251,21,26,365,50,65,200,15000
BetuNigr,5,FALSE,2374.64,5216.12,-18,0.2,1,FALSE,0.219,0.27,0.2018,0.251,21,26,365,50,65,200,5000
CaryAlba,5,FALSE,2232.16,5310.4,-7,0.2,1,FALSE,0.187,0.27,0.2,0.251,26.674,25,294,49,43,400,12500
CaryCodi,5,FALSE,1861.56,4867.65,-12,0.3,1,FALSE,0.187,0.24,0.2,0.251,26.741,25,294,49,43,400,12500
CaryGlab,5,FALSE,1977.12,6960,-7,0.2,1,TRUE,0.187,0.24,0.2,0.251,26.741,25,294,118,43,270,12500
CaryOvat,5,FALSE,1964.41,4849.51,-7,0.2,1,FALSE,0.187,0.27,0.2,0.251,26.674,25,294,49,43,400,12500
CornFlor,5,FALSE,2443.75,5295.9,-4,0.25,1,TRUE,0.172,0.255,0.255,0.255,25,45,90,90,45,230,5000
FaguGran,5,FALSE,1387.8,5112.6,-12,0.28,1,FALSE,0.172,0.255,0.255,0.255,25,45,90,90,45,230,5000
FrasFirr,3,FALSE,2097.23,2809.72,-7,0.025,3,FALSE,0.252,0.252,0.312,0.204,32.4,43,545,108,74,230,5000
FraxAmer,4,FALSE,1456.94,5112.6,-12,0.28,1,FALSE,0.114,0.27,0.2018,0.251,22.9,26,189,50,65,340,12500
FraxPenn,6,FALSE,1703.01,5917.729,-23,0.114,1,TRUE,0.144,0.27,0.2018,0.251,22.9,26,455,50,65,400,12500
HaleDipt,6,FALSE,1910,6960,-2,0.3,1,FALSE,0.336,0.255,0.255,0.255,25,45,90,90,55,230,5000
IlexOpac,5,FALSE,1910,6960,-2,0.3,1,TRUE,0.336,0.255,0.255,0.255,25,45,90,90,55,230,5000
JuglNigr,5,FALSE,1910,4571,-8,0.3,1,FALSE,0.187,0.24,0.2,0.251,26.741,25,294,49,43,400,12500
LiquStyr,5,FALSE,2998.38,6165.93,-1,0.3,1,TRUE,0.331,0.255,0.255,0.255,25,45,90,90,45,270,12500
LiriTuli,5,FALSE,2295.39,6000,-7,0.3,1,TRUE,0.331,0.255,0.255,0.255,25,45,90,90,45,450,20000
MagnAcum,4,FALSE,1849.8,4987.6,-2,0.16,1,TRUE,0.293,0.23,0.23,0.23,24,48,500,333,55,200,5000
MagnMacr,6,FALSE,1850.51,5993,-2,0.16,1,TRUE,0.293,0.23,0.23,0.23,24,48,500,333,55,90,5000
NyssSylv,5,FALSE,1910,6960,-2,0.301,1,TRUE,0.172,0.255,0.255,0.255,25,45,90,90,45,270,5000
OxydArbo,5,FALSE,2146.02,4993.49,-2,0.3,1,TRUE,0.336,0.255,0.255,0.255,25,45,90,90,55,270,5000
PiceRube,1,FALSE,1176.34,2469.94,-12,0.309,3,FALSE,0.249,0.258,0.4,0.234,45.8,43,600,84,55,400,20000
PinuEnch,2,FALSE,2848.4,5378.22,-1,0.385,2,TRUE,0.255,0.2,0.35,0.35,52.08,50,346,170,100,360,12500
PinuPung,2,FALSE,1858.5,3463.25,-7,0.307,3,TRUE,0.255,0.2,0.35,0.35,50,50,380,170,100,400,5000
PinuRigi,2,FALSE,1921.9,3695.14,-7,0.307,3,TRUE,0.255,0.2,0.35,0.35,50,50,380,170,100,400,12500
PinuStro,3,FALSE,1428,4044.54,-3,0.226,2,FALSE,0.263,0.225,0.3104,0.204,20.8,43,398,84,55,320,20000
PinuTaed,2,FALSE,2918.44,6023.78,4,0.36,3,FALSE,0.2,0.2,0.35,0.35,26.1,53,716,170,100,450,20000
PinuVirg,2,FALSE,1910,4638.61,-7,0.285,1,FALSE,0.251,0.23,0.23,0.23,24,48,500,333,55,450,15000
PlanOcid,5,FALSE,1926,5482,-7,0.12,1,TRUE,0.219,0.27,0.2018,0.251,21,26,365,50,65,200,12500
PrunPenn,6,FALSE,560,3393.89,-23,0.16,1,FALSE,0.175,0.27,0.2,0.251,18.1,25,108,49,65,350,5000
PrunSero,4,FALSE,1534.72,5993,-10,0.3,1,TRUE,0.175,0.27,0.2,0.251,18.1,25,108,49,65,350,12500
QuerAlba,5,FALSE,1721,5537,-12,0.33,1,TRUE,0.175,0.27,0.2,0.251,18.1,25,108,49,65,300,20000
QuerCocc,5,FALSE,1972.44,4571,-7,0.286,1,TRUE,0.262,0.23,0.23,0.23,24,48,500,333,55,320,20000
QuerFalc,5,FALSE,2660,5993,2,0.423,1,FALSE,0.293,0.23,0.23,0.23,24,48,500,333,55,350,12500
QuerPrin,4,FALSE,1260,6600,-18,0.23,1,FALSE,0.183,0.334,0.125,0.312,28.2,26,565,50,55,300,20000
QuerRubr,4,FALSE,1100,4571,-17,0.225,1,TRUE,0.249,0.334,0.225,0.303,18.5,58,345,113,32,300,20000
