IgnitionType,Mapcode,Suppress_Category_0,FWI_Break_1,Suppress_Category_1,FWI_Break_2,Suppress_Category_2
Accidental,1,0,20,0,28,0
Accidental,2,65,20,55,28,25
Accidental,3,75,20,65,28,55
Lightning,1,0,20,0,28,0
Lightning,2,65,20,55,28,25
Lightning,3,75,20,65,28,55
Rx,1,0,20,0,28,0
Rx,2,0,20,0,28,0
Rx,3,95,20,0,28,75
