Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2006, eco4, 0, 147.82, 17.46, 45, 305, 0, 
2007, eco4, 0, 137.81, 16.47, 46, 307, 0, 
2008, eco4, 0, 93.65, 18.55, 47, 322, 0, 
2009, eco4, 0, 105.99, 17.16, 24, 297, 0, 
2010, eco4, 0, 138.02, 16.17, 45, 285, 0, 
2011, eco4, 0, 152.46, 14.92, 35, 268, 0, 
2012, eco4, 0, 124.04, 18.15, 0, 304, 0, 
2013, eco4, 0, 182.21, 17.84, 0, 322, 0, 
2014, eco4, 0, 154.85, 17.88, 0, 321, 0, 
2015, eco4, 0, 123.55, 17.77, 20, 321, 0, 
2016, eco4, 0, 123.55, 17.77, 20, 319, 0, 
2017, eco4, 0, 107.75, 16.62, 37, 293, 0, 
2018, eco4, 0, 169.04, 16.1, 50, 321, 0, 
2019, eco4, 0, 131.69, 17.32, 0, 300, 0, 
2020, eco4, 0, 148.63, 18.32, 0, 277, 0, 
2021, eco4, 0, 185.77, 16.79, 0, 303, 0, 
2022, eco4, 0, 127.52, 17.35, 22, 294, 0, 
2023, eco4, 0, 142.45, 16.92, 0, 314, 0, 
2024, eco4, 0, 152.8, 16.33, 0, 272, 0, 
2025, eco4, 0, 176.14, 17.07, 46, 303, 0, 
2026, eco4, 0, 116.57, 16.83, 0, 292, 0, 
2027, eco4, 0, 148.6, 17.05, 0, 351, 0, 
2028, eco4, 0, 148.3, 17.91, 0, 299, 0, 
2029, eco4, 0, 112.27, 19.36, 0, 322, 0, 
2030, eco4, 0, 141.84, 16.85, 47, 311, 0, 
2031, eco4, 0, 137.81, 16.47, 46, 314, 0, 
2032, eco4, 0, 164.32, 16.63, 0, 291, 0, 
2033, eco4, 0, 123.37, 17.11, 0, 314, 0, 
2034, eco4, 0, 132.58, 16.9, 50, 314, 0, 
2035, eco4, 0, 182.21, 17.84, 0, 323, 0, 
2036, eco4, 0, 188.24, 17.06, 27, 321, 0, 
2037, eco4, 0, 148.3, 17.91, 0, 303, 0, 
2038, eco4, 0, 144.2, 16.96, 0, 289, 0, 
2039, eco4, 0, 152.15, 15.85, 0, 320, 0, 
2040, eco4, 0, 135.33, 15.85, 0, 321, 0, 
2041, eco4, 0, 127.39, 17.58, 22, 303, 0, 
2042, eco4, 0, 138.37, 16.86, 43, 282, 0, 
2043, eco4, 0, 136.93, 16.73, 45, 319, 0, 
2044, eco4, 0, 134.28, 15.92, 32, 302, 0, 
2045, eco4, 0, 137.81, 16.47, 46, 308, 0, 
2046, eco4, 0, 160.96, 16.81, 0, 283, 0, 
2047, eco4, 0, 104.16, 18.93, 0, 279, 0, 
2048, eco4, 0, 136.27, 17.12, 45, 323, 0, 
2049, eco4, 0, 164.32, 16.63, 0, 297, 0, 
2050, eco4, 0, 138.16, 16.23, 18, 321, 0, 
2051, eco4, 0, 153.73, 16.22, 66, 311, 0, 
2052, eco4, 0, 123.55, 17.77, 20, 322, 0, 
2053, eco4, 0, 105.99, 17.16, 24, 296, 0, 
2054, eco4, 0, 140.33, 17.24, 0, 279, 0, 
2055, eco4, 0, 154.36, 16.86, 54, 321, 0, 
2056, eco4, 0, 133.42, 19.01, 0, 322, 0, 
2057, eco4, 0, 106.68, 17.29, 59, 311, 0, 
2058, eco4, 0, 142.45, 16.92, 0, 303, 0, 
2059, eco4, 0, 144.2, 16.96, 0, 286, 0, 
2060, eco4, 0, 176.14, 17.07, 46, 303, 0, 
2061, eco4, 0, 156.37, 17.45, 0, 321, 0, 
2062, eco4, 0, 153.73, 16.22, 66, 301, 0, 
2063, eco4, 0, 169.04, 16.1, 50, 321, 0, 
2064, eco4, 0, 95.23, 18.52, 27, 316, 0, 
2065, eco4, 0, 182.21, 17.84, 0, 323, 0, 
2066, eco4, 0, 148.3, 17.91, 0, 299, 0, 
2067, eco4, 0, 167.28, 17.24, 0, 315, 0, 
2068, eco4, 0, 152.46, 14.92, 35, 266, 0, 
2069, eco4, 0, 128.55, 16.65, 58, 289, 0, 
2070, eco4, 0, 128.55, 16.65, 58, 290, 0, 
2071, eco4, 0, 113.97, 18.4, 0, 309, 0, 
2072, eco4, 0, 127.7, 17.66, 0, 287, 0, 
2073, eco4, 0, 152.15, 15.85, 0, 305, 0, 
2074, eco4, 0, 123.37, 17.11, 0, 314, 0, 
2075, eco4, 0, 127.7, 17.66, 0, 288, 0, 
2076, eco4, 0, 142.05, 16.5, 47, 326, 0, 
2077, eco4, 0, 176.14, 17.07, 46, 306, 0, 
2078, eco4, 0, 151.63, 16.16, 52, 310, 0, 
2079, eco4, 0, 123.55, 17.77, 20, 321, 0, 
2080, eco4, 0, 103.54, 18.68, 0, 320, 0, 
2081, eco4, 0, 130, 15.76, 54, 292, 0, 
2082, eco4, 0, 149.98, 16.63, 19, 304, 0, 
2083, eco4, 0, 149.98, 16.63, 19, 298, 0, 
2084, eco4, 0, 138.02, 16.17, 45, 278, 0, 
2085, eco4, 0, 182.21, 17.84, 0, 321, 0, 
2086, eco4, 0, 138.37, 16.86, 43, 280, 0, 
2087, eco4, 0, 98, 18.12, 22, 321, 0, 
2088, eco4, 0, 182.21, 17.84, 0, 323, 0, 
2089, eco4, 0, 154.36, 16.86, 54, 322, 0, 
2090, eco4, 0, 148.6, 17.05, 0, 314, 0, 
2091, eco4, 0, 103.15, 17.65, 50, 300, 0, 
2092, eco4, 0, 160.96, 16.81, 0, 277, 0, 
2093, eco4, 0, 149.98, 16.63, 19, 307, 0, 
2094, eco4, 0, 152.15, 15.85, 0, 311, 0, 
2095, eco4, 0, 141.84, 16.85, 47, 310, 0, 
2096, eco4, 0, 144.2, 16.96, 0, 313, 0, 
2097, eco4, 0, 124.04, 18.15, 0, 307, 0, 
2098, eco4, 0, 148.63, 18.32, 0, 278, 0, 
2099, eco4, 0, 124.04, 18.15, 0, 299, 0, 
2100, eco4, 0, 123.46, 16.78, 36, 300, 0, 
2101, eco4, 0, 116.63, 17.34, 0, 318, 0, 
2102, eco4, 0, 147.39, 16.88, 26, 304, 0, 
2103, eco4, 0, 165.19, 16.66, 0, 284, 0, 
2104, eco4, 0, 124.1, 18.31, 0, 307, 0, 
2105, eco4, 0, 106.68, 17.29, 59, 309, 0, 
2006, eco3, 1, 145.99, 17.3, 47, 297, 0, 
2007, eco3, 1, 138.02, 16.26, 47, 294, 0, 
2008, eco3, 1, 95.52, 18.3, 49, 321, 0, 
2009, eco3, 1, 111.11, 16.95, 26, 299, 0, 
2010, eco3, 1, 138.58, 15.99, 46, 275, 0, 
2011, eco3, 1, 153.18, 14.69, 36, 261, 0, 
2012, eco3, 1, 124.24, 17.96, 0, 297, 0, 
2013, eco3, 1, 179.78, 17.67, 0, 322, 0, 
2014, eco3, 1, 154.91, 17.7, 0, 321, 0, 
2015, eco3, 1, 121.55, 17.58, 22, 281, 0, 
2016, eco3, 1, 121.55, 17.58, 22, 283, 0, 
2017, eco3, 1, 113.43, 16.36, 39, 285, 0, 
2018, eco3, 1, 167.6, 15.93, 52, 322, 0, 
2019, eco3, 1, 133.45, 17.11, 0, 296, 0, 
2020, eco3, 1, 144.63, 18.12, 0, 273, 0, 
2021, eco3, 1, 183.27, 16.6, 0, 297, 0, 
2022, eco3, 1, 128.32, 17.19, 23, 291, 0, 
2023, eco3, 1, 140.71, 16.75, 0, 296, 0, 
2024, eco3, 1, 153.23, 16.16, 0, 269, 0, 
2025, eco3, 1, 172.31, 16.87, 49, 301, 0, 
2026, eco3, 1, 117.76, 16.61, 0, 292, 0, 
2027, eco3, 1, 150.03, 16.84, 47, 305, 0, 
2028, eco3, 1, 150.17, 17.73, 0, 293, 0, 
2029, eco3, 1, 112.17, 19.17, 0, 322, 0, 
2030, eco3, 1, 142.64, 16.64, 48, 303, 0, 
2031, eco3, 1, 138.02, 16.26, 47, 288, 0, 
2032, eco3, 1, 170.67, 16.46, 0, 291, 0, 
2033, eco3, 1, 123.62, 16.93, 0, 304, 0, 
2034, eco3, 1, 133.64, 16.74, 50, 298, 0, 
2035, eco3, 1, 179.78, 17.67, 0, 325, 0, 
2036, eco3, 1, 190.4, 16.88, 35, 315, 0, 
2037, eco3, 1, 150.17, 17.73, 0, 292, 0, 
2038, eco3, 1, 141.6, 16.78, 0, 277, 0, 
2039, eco3, 1, 153.9, 15.66, 0, 297, 0, 
2040, eco3, 1, 137.66, 15.66, 0, 318, 0, 
2041, eco3, 1, 128.24, 17.37, 22, 278, 0, 
