Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco4, 0, 89511, 0, 3784.3, 13249, 0, 0, 0, 0, 3.5, 309.6, 0, 0, 0, 6227, 754, 1, 1, 0.1, 0, 0, 0, 37.8, 75.7, 2232.7, 1438, 0, 0, 26.8, 8.9, 0, 0, 0, 0, 0, 0, 3.9, 7.6, 89.3, 169.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 274, 0, 0, 
0, eco3, 1, 212017, 0, 2523, 9792.6, 0, 0, 0, 0, 3.5, 213.1, 0, 0, 0, 4602.5, 583.6, 0.9, 0.9, 0.1, 0, 0, 0, 25.2, 50.5, 1488.5, 958.7, 0, 0, 22.4, 6.6, 0, 0, 0, 0, 0, 0, 2.8, 5, 59.5, 113.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 
0, eco2, 2, 118969, 0, 2222.6, 9205.5, 0, 0, 0, 0, 3.5, 190.3, 0, 0, 0, 4326.6, 567.6, 0.9, 0.9, 0.1, 0, 0, 0, 22.2, 44.5, 1311.3, 844.6, 0, 0, 21.4, 6.3, 0, 0, 0, 0, 0, 0, 2.5, 4.4, 52.5, 99.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 162.6, 0, 0, 
0, eco1, 3, 34085, 0, 2869.4, 9043.9, 0, 0, 0, 0, 3.5, 233.6, 0, 0, 0, 4250.6, 518.6, 1, 1, 0.1, 0, 0, 0, 28.7, 57.4, 1692.9, 1090.4, 0, 0, 19, 6, 0, 0, 0, 0, 0, 0, 2.9, 5.7, 67.7, 128.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 208.5, 0, 0, 
10, eco4, 0, 89511, 80.2, 3552.6, 11988.7, 180.9, 31.7, 96.8, 213.8, 5.77, 301.6, 10.5, 151.2, 29.4, 5486.2, 653.7, 965.6, 139.1, 511.3, 86.7, 62, 11.4, 49.4, 46.6, 2014, 1442.6, 3.8, 0.7, 21.4, 7.4, 4.5, 1.7, 2.6, 2.9, 0.3, 0.5, 1.3, 5.2, 73.2, 170.4, 0, -0.4, 0, -0.1, 2.6, 4.1, -2, 0, 33.7, 0.05, 0.11, 0, 0, 2.4, 1.5, 262.2, 4.2, 0, 
10, eco3, 1, 212017, -1.6, 2461.3, 9588.6, 200.4, 35.7, 96.2, 172.7, 4.38, 214.1, 8.3, 153.7, 30.2, 4351.5, 546.5, 754.4, 113.8, 497, 79.1, 59.2, 11.7, 39.6, 36.3, 1423.2, 962.2, 4, 0.7, 19.1, 6, 3.8, 1.3, 2.5, 2.7, 0.3, 0.5, 1.1, 3.9, 50.2, 113.7, 0, -0.4, 0, -0.1, 2.3, 2.9, -1.5, 0, 33.71, 0.04, 0.07, 0, 0, 2.8, 1.5, 179.2, 3.15, 0, 
10, eco2, 2, 118969, -16.5, 2197.5, 9238.9, 195.3, 35.6, 92.8, 163.4, 4.17, 193.3, 7.4, 156.4, 30.8, 4184.3, 548.1, 734.1, 113.7, 487.5, 74.8, 57.4, 12.2, 37.5, 32.6, 1279.8, 847.6, 4.2, 0.7, 18.8, 5.8, 3.6, 1.3, 2.4, 2.5, 0.3, 0.5, 1.1, 3.5, 44.4, 100.1, 0, -0.4, 0, -0.2, 2.1, 2.5, -1.4, 0, 33.71, 0.03, 0.07, 0, 0, 2.5, 1.5, 158.9, 3, 0, 
10, eco1, 3, 34085, -3.8, 2676.1, 9013.7, 188.5, 33.8, 96.3, 160.5, 4.51, 232, 8, 176.2, 34.8, 4059.2, 498.4, 667.8, 98, 446.1, 70.1, 54.1, 10.9, 35.4, 38.6, 1507.9, 1094.2, 4.4, 0.8, 16.3, 5.7, 3.2, 1.2, 2.2, 2.3, 0.3, 0.4, 1, 4.3, 56.1, 129.3, 0, -0.4, 0, -0.1, 1.9, 3, -1.5, 0, 33.44, 0.03, 0.02, 0, 0, 2.6, 1.4, 200.5, 3.41, 0, 
20, eco4, 0, 89511, 43, 3724.5, 11503.7, 249, 38.7, 118.2, 211.3, 4.54, 295.9, 11.4, 185.8, 35.1, 5219.8, 624.3, 995.7, 143.5, 961.8, 101.2, 120.2, 14, 55.1, 50.9, 2171.1, 1447.4, 4.8, 0.8, 19.2, 6.9, 4.2, 1.7, 4.8, 3.4, 0.6, 0.6, 1.4, 5.7, 65.9, 171.2, 0.1, -0.5, 0, -0.2, 2.9, 4.5, -2.9, 0, 33.69, 0.27, 0.38, 0, 0, 3.2, 1.8, 258.1, 3.36, 0, 
20, eco3, 1, 212017, -7.4, 2740.3, 9921.4, 250.5, 40.6, 118.6, 182.6, 3.63, 217.1, 9.6, 188.4, 36.1, 4471.9, 563.9, 838.3, 125.7, 966, 96.9, 118.1, 14.6, 47.6, 43.5, 1682.9, 966.2, 5, 0.8, 18.5, 6.1, 3.9, 1.4, 4.8, 3.2, 0.6, 0.6, 1.4, 4.7, 48.2, 114.3, 0.1, -0.5, 0, -0.2, 2.8, 3.4, -2.4, 0, 33.7, 0.2, 0.29, 0, 0, 3.3, 1.8, 181.5, 2.67, 0, 
