SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,
1, 1833, 257, 295, 1051, 140, 59, 4070523, 663777, 665834, 2385, 0, 0, 
2, 2274, 348, 558, 1222, 184, 112, 5334448, 873323, 1401300, 3107, 73, 0, 
3, 2181, 343, 305, 1245, 183, 61, 5327868, 861009, 740406, 2700, 129, 0, 
4, 2045, 271, 490, 1182, 153, 98, 4679915, 652789, 1062769, 2642, 164, 0, 
5, 2281, 288, 480, 1271, 175, 96, 5425159, 714937, 1080128, 2787, 262, 0, 
6, 2267, 285, 435, 1273, 171, 87, 10517847, 1284378, 937097, 478, 2509, 0, 
7, 2102, 292, 535, 1133, 169, 107, 9652033, 1340917, 1185120, 536, 2393, 0, 
8, 2228, 290, 528, 1279, 169, 106, 9616460, 1156080, 1181417, 533, 2513, 0, 
9, 2334, 351, 560, 1251, 187, 112, 10152860, 1504342, 1145552, 561, 2684, 0, 
10, 2451, 345, 505, 1285, 183, 101, 10621080, 1501866, 1120392, 509, 2792, 0, 
11, 2074, 297, 560, 1143, 164, 112, 8037272, 1118357, 928247, 560, 2371, 0, 
12, 1936, 256, 185, 1141, 153, 37, 7453339, 1005220, 305507, 187, 2190, 0, 
13, 1912, 217, 320, 1089, 125, 64, 7397522, 947234, 506080, 320, 2129, 0, 
14, 2358, 337, 360, 1296, 177, 72, 9255492, 1376908, 607443, 361, 2694, 0, 
15, 2527, 371, 560, 1408, 199, 112, 9600226, 1499853, 832640, 560, 2898, 0, 
16, 2511, 407, 560, 1332, 215, 112, 10155030, 1605514, 1007629, 561, 2917, 0, 
17, 2305, 385, 560, 1269, 197, 112, 9375637, 1520391, 953445, 561, 2689, 0, 
18, 1995, 277, 560, 1109, 155, 112, 8101926, 1131498, 921501, 561, 2271, 0, 
19, 2255, 327, 560, 1215, 185, 112, 9058110, 1354163, 966025, 561, 2581, 0, 
20, 2313, 367, 560, 1255, 186, 112, 8939132, 1439124, 966890, 560, 2680, 0, 
21, 2549, 378, 560, 1411, 203, 112, 9263556, 1449845, 843939, 561, 2926, 0, 
22, 1951, 243, 95, 1101, 147, 19, 7092928, 870438, 143640, 95, 2194, 0, 
23, 2358, 314, 560, 1316, 183, 112, 8669117, 1121187, 834813, 561, 2671, 0, 
24, 2163, 313, 560, 1171, 162, 112, 7757439, 1146369, 747369, 561, 2475, 0, 
