Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco2, 0, 454708, 0, 2718.7, 10262.8, 0, 0, 0, 0, 3.5, 218.9, 0, 0, 0, 4823.5, 537.3, 0.9, 0.9, 0.1, 0, 0, 0, 27.2, 54.4, 1604, 1033.1, 0, 0, 22.8, 6, 0, 0, 0, 0, 0, 0, 0.3, 0.3, 64.2, 121.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190.2, 0, 0, 
5, eco2, 0, 454708, -49.6, 2508.9, 9811.1, 185.7, 24.7, 99.7, 142.3, 3.68, 221.9, 7.1, 81.9, 14.5, 4505.2, 502.8, 524, 60.4, 166.2, 71.7, 17.4, 8.6, 23.7, 28.5, 1421.9, 1034.8, 2.5, 0.3, 20.7, 5.6, 2.4, 0.7, 0.8, 2.4, 0.1, 0.4, 0.8, 3.4, 56.1, 122.2, 0, -0.3, 0, -0.1, 1.3, 3, -1.3, 0, 16.23, 1.36, 0.66, 0.5, 0, 2.7, 2, 189.7, 2.27, 0, 
10, eco2, 0, 454708, -177.6, 2495.6, 9708.5, 352.1, 42, 100.2, 143.2, 3.32, 221.8, 8.3, 144, 21.9, 4400.4, 492.4, 740.4, 86.2, 376.4, 94.6, 40.5, 11.2, 35.2, 29.6, 1394.5, 1036.3, 5, 0.5, 19.6, 5.4, 3.4, 0.9, 1.9, 3.2, 0.2, 0.5, 1.1, 3.4, 51, 122.4, 0, -0.4, 0, -0.1, 2.1, 3.1, -1.4, 0, 15.83, 0.95, 0.46, 6.2, 0.1, 4.7, 2, 186.9, 2.44, 0, 
15, eco2, 0, 454708, -191.7, 2552.7, 9945.3, 386.2, 46.1, 109.4, 146.4, 3.14, 222.1, 8.8, 172.4, 26, 4485.1, 504.1, 817.8, 97.4, 624.5, 107.4, 68.2, 12.6, 40.6, 31.3, 1442.8, 1038, 5.9, 0.6, 19.4, 5.5, 3.6, 1.1, 3.1, 3.6, 0.3, 0.5, 1.2, 3.6, 47.7, 122.7, 0, -0.5, 0, -0.1, 2.5, 3.1, -1.8, 0, 15.92, 1.11, 0.54, 11.2, 0.1, 4.9, 2.2, 185.9, 2.58, 0, 
20, eco2, 0, 454708, -107.9, 2624.2, 9646.2, 307, 37.6, 112.1, 142.5, 3.62, 220.1, 8.1, 149.9, 23.3, 4373.6, 494.6, 874.3, 105.3, 779.4, 99.8, 87.3, 12.1, 42, 32.8, 1509.8, 1039.6, 5, 0.6, 18.5, 5.4, 3.8, 1.1, 3.9, 3.3, 0.4, 0.5, 1.1, 3.8, 46, 122.9, 0.1, -0.4, 0, -0.1, 2.1, 3, -2, 0, 15.94, 1.36, 0.66, 18.6, 0.2, 3.6, 2.2, 185.6, 2.84, 0, 
