Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_AcerPens,CohortsHarvested_AmelArbo,CohortsHarvested_AescBuck,CohortsHarvested_AcerRubr,CohortsHarvested_AcerSacc,CohortsHarvested_BetuAlle,CohortsHarvested_BetuNigr,CohortsHarvested_BetuLent,CohortsHarvested_CaryOvat,CohortsHarvested_CaryAlba,CohortsHarvested_CaryGlab,CohortsHarvested_CaryCodi,CohortsHarvested_CornFlor,CohortsHarvested_FraxPenn,CohortsHarvested_FraxAmer,CohortsHarvested_FaguGran,CohortsHarvested_JuglNigr,CohortsHarvested_HaleDipt,CohortsHarvested_IlexOpac,CohortsHarvested_LiriTuli,CohortsHarvested_LiquStyr,CohortsHarvested_MagnAcum,CohortsHarvested_MagnMacr,CohortsHarvested_NyssSylv,CohortsHarvested_OxydArbo,CohortsHarvested_PrunSero,CohortsHarvested_PrunPenn,CohortsHarvested_PlanOcid,CohortsHarvested_QuerAlba,CohortsHarvested_QuerCocc,CohortsHarvested_QuerFalc,CohortsHarvested_QuerRubr,CohortsHarvested_QuerPrin,CohortsHarvested_QuerVelu,CohortsHarvested_QuerStel,CohortsHarvested_RobiPseu,CohortsHarvested_SassAlid,CohortsHarvested_TiliAmer,CohortsHarvested_TiliAmhe,CohortsHarvested_TsugCana,CohortsHarvested_PinuVirg,CohortsHarvested_PinuTaed,CohortsHarvested_PinuStro,CohortsHarvested_PinuRigi,CohortsHarvested_PinuPung,CohortsHarvested_FrasFirr,CohortsHarvested_PiceRube,CohortsHarvested_PinuEnch,BiomassHarvestedMg_AcerPens,BiomassHarvestedMg_AmelArbo,BiomassHarvestedMg_AescBuck,BiomassHarvestedMg_AcerRubr,BiomassHarvestedMg_AcerSacc,BiomassHarvestedMg_BetuAlle,BiomassHarvestedMg_BetuNigr,BiomassHarvestedMg_BetuLent,BiomassHarvestedMg_CaryOvat,BiomassHarvestedMg_CaryAlba,BiomassHarvestedMg_CaryGlab,BiomassHarvestedMg_CaryCodi,BiomassHarvestedMg_CornFlor,BiomassHarvestedMg_FraxPenn,BiomassHarvestedMg_FraxAmer,BiomassHarvestedMg_FaguGran,BiomassHarvestedMg_JuglNigr,BiomassHarvestedMg_HaleDipt,BiomassHarvestedMg_IlexOpac,BiomassHarvestedMg_LiriTuli,BiomassHarvestedMg_LiquStyr,BiomassHarvestedMg_MagnAcum,BiomassHarvestedMg_MagnMacr,BiomassHarvestedMg_NyssSylv,BiomassHarvestedMg_OxydArbo,BiomassHarvestedMg_PrunSero,BiomassHarvestedMg_PrunPenn,BiomassHarvestedMg_PlanOcid,BiomassHarvestedMg_QuerAlba,BiomassHarvestedMg_QuerCocc,BiomassHarvestedMg_QuerFalc,BiomassHarvestedMg_QuerRubr,BiomassHarvestedMg_QuerPrin,BiomassHarvestedMg_QuerVelu,BiomassHarvestedMg_QuerStel,BiomassHarvestedMg_RobiPseu,BiomassHarvestedMg_SassAlid,BiomassHarvestedMg_TiliAmer,BiomassHarvestedMg_TiliAmhe,BiomassHarvestedMg_TsugCana,BiomassHarvestedMg_PinuVirg,BiomassHarvestedMg_PinuTaed,BiomassHarvestedMg_PinuStro,BiomassHarvestedMg_PinuRigi,BiomassHarvestedMg_PinuPung,BiomassHarvestedMg_FrasFirr,BiomassHarvestedMg_PiceRube,BiomassHarvestedMg_PinuEnch,
5, 6, SelectiveOakHarvest, 99, 1073, 454, 90449.625, 14, 11, 10, 361, 22, 10, 0, 111, 0, 5, 25, 1, 3, 0, 24, 20, 1, 6, 0, 131, 1, 4, 59, 59, 158, 9, 0, 0, 25, 39, 0, 92, 201, 6, 1, 55, 9, 0, 0, 0, 18, 1, 28, 0, 0, 0, 0, 7, 178.625, 120.5, 59.375, 14295.0625, 318.25, 584.6875, 0, 3510.4375, 0, 187.3125, 1159.5, 20.125, 3.9375, 0, 1430.0625, 744.75, 14.9375, 193.3125, 0, 6921.875, 3.0625, 163.3125, 1023.4375, 694.8125, 3034.3125, 388.9375, 0, 0, 1038.4375, 2003.8125, 0, 4769.375, 10230.1875, 263.375, 10.6875, 732.1875, 31.3125, 0, 0, 0, 645.125, 3.0625, 762.375, 0, 0, 0, 0, 149.9375, 
5, 6, PineShelterwood, 84, 1201, 183, 91681.9375, 0, 2, 4, 215, 0, 0, 0, 18, 0, 27, 45, 1, 21, 0, 0, 13, 0, 1, 9, 151, 6, 1, 5, 71, 203, 20, 0, 0, 151, 86, 21, 11, 64, 37, 3, 19, 6, 0, 0, 0, 54, 11, 64, 0, 0, 0, 0, 44, 0, 16, 5.375, 4717.875, 0, 0, 0, 329.25, 0, 2535.3125, 1619.375, 67.3125, 129.6875, 0, 0, 112.0625, 0, 1.25, 19.125, 6219.5625, 177.375, 6.5625, 60.5, 1034, 3499.6875, 327.75, 0, 0, 10981.0625, 4665.4375, 630.1875, 1778.3125, 2629.875, 1308.4375, 171.25, 159.1875, 44.1875, 0, 0, 0, 1499.9375, 542.6875, 2712.6875, 0, 0, 0, 0, 1564.5625, 
5, 7, SelectiveOakHarvest, 6, 65, 45, 4804.375, 0, 0, 0, 20, 0, 0, 0, 3, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 6, 18, 0, 0, 0, 11, 8, 1, 1, 10, 4, 0, 6, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 492.875, 0, 0, 0, 61.125, 0, 100.25, 25.1875, 0, 0, 0, 0, 0, 0, 0, 0, 584.5625, 0, 0, 0, 34.5625, 298.25, 0, 0, 0, 305.3125, 227.4375, 20.3125, 48.1875, 274.1875, 130.375, 0, 145, 0, 0, 0, 0, 199.9375, 0, 11.125, 0, 0, 0, 0, 29.375, 
5, 7, PineShelterwood, 7, 128, 19, 7410.4375, 0, 0, 0, 25, 0, 0, 0, 9, 2, 6, 12, 0, 4, 0, 0, 2, 0, 1, 1, 12, 0, 0, 2, 4, 10, 0, 0, 0, 7, 11, 4, 1, 8, 5, 0, 2, 1, 0, 0, 0, 7, 0, 7, 0, 0, 0, 0, 4, 0, 0, 0, 704.375, 0, 0, 0, 205.375, 15.1875, 116.25, 252, 0, 16.5, 0, 0, 2.625, 0, 1.25, 8.375, 545.875, 0, 0, 5.1875, 7.125, 110.125, 0, 0, 0, 377.125, 488.6875, 111.0625, 60.9375, 340.25, 175.75, 0, 6.5625, 3.9375, 0, 0, 0, 153.0625, 0, 117.5, 0, 0, 0, 0, 217.9375, 
10, 1, SelectiveOakHarvest, 2, 7, 22, 558.5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 4, 0, 0, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3125, 0, 0, 0, 0, 0.3125, 0, 0.5625, 0.375, 0, 0, 0, 0, 0, 0, 0, 0.4375, 0.625, 0, 0, 0, 119.6875, 0, 0, 105.5625, 284.6875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43.3125, 0, 0, 0, 0, 0, 
10, 1, PineShelterwood, 2, 22, 8, 1352.75, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 11.6875, 0, 0, 0, 0, 0, 165.6875, 0, 0, 2.3125, 0, 0, 0, 0, 0, 7.5, 123.4375, 0, 0, 0, 1.375, 0, 0, 0, 0, 138.1875, 0, 0, 124.375, 0, 0, 0, 0, 0, 0, 0, 0, 37.5625, 0, 128.5, 0, 0, 0, 0, 0, 
10, 2, SelectiveOakHarvest, 23, 27, 146, 4450.375, 1, 2, 0, 4, 5, 0, 0, 2, 0, 3, 6, 0, 0, 0, 0, 2, 1, 3, 0, 0, 0, 0, 1, 8, 3, 1, 0, 0, 23, 19, 10, 19, 39, 9, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 0.4375, 1.125, 0, 4.9375, 43, 0, 0, 0.75, 0, 29.9375, 90.875, 0, 0, 0, 0, 0.9375, 2.125, 0.875, 0, 0, 0, 0, 0.25, 3.625, 1.4375, 0.3125, 0, 0, 1004.1875, 689.875, 111.25, 916.875, 1252.625, 185.375, 0, 0, 0, 0, 0, 0, 0, 0, 55.5625, 0, 0, 0, 0, 39.3125, 
10, 2, PineShelterwood, 23, 73, 77, 3163.6875, 0, 0, 0, 3, 0, 0, 0, 1, 0, 4, 0, 0, 2, 0, 0, 1, 0, 0, 0, 7, 3, 3, 3, 1, 7, 4, 0, 0, 11, 5, 0, 3, 5, 5, 1, 1, 2, 0, 0, 0, 6, 23, 22, 0, 0, 0, 0, 27, 0, 0, 0, 99.625, 0, 0, 0, 11.5625, 0, 6, 0, 0, 0.75, 0, 0, 1, 0, 0, 0, 420.5625, 6.3125, 1.75, 43, 0.3125, 28.375, 3.4375, 0, 0, 101.8125, 112.5625, 0, 3.8125, 262.5625, 9.3125, 1.0625, 2.0625, 3.1875, 0, 0, 0, 44.0625, 531.6875, 294.1875, 0, 0, 0, 0, 274.125, 
10, 3, SelectiveOakHarvest, 5, 3, 25, 919.3125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 3, 1, 4, 12, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.125, 0, 0, 0.4375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 157.875, 82.6875, 15.4375, 229.75, 414.8125, 7.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 3, PineShelterwood, 1, 17, 1, 778.375, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 1, 1, 5, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 63.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3125, 0, 0, 14, 123.625, 0, 0, 7.4375, 5.9375, 81.5, 0, 0, 0, 70.8125, 6.6875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22.75, 0, 0, 0, 0, 0, 
