"","Total","WRJP","SpFir","LngSl","LobSh","OthESw","OkP","OkH","OkGC","EAC","MapBB","AsBir","OtHw","TropHw","ExHd","Nons","STCountycode","Ownership"
"Total",0.173477586206897,0,0,0,0,0.130148275862069,0.0599931034482759,0.0280344827586207,0,0,0,0,0,0,0,0,33149.6896551724,"State"
"Total3",0.650972413793103,0.894898275862069,0,0,0.348793103448276,0.00358965517241379,0.263315517241379,0.700956896551724,0,0,0.246143103448276,0,0.0851551724137931,0,0,0.662286206896552,33149.6896551724,"Private"
"Total2",0.0010051724137931,0,0,0,0,0,0,0.0010051724137931,0,0,0,0,0,0,0,0,33149.6896551724,"Other_Fed"
"Total1",0.0295344827586207,0,0,0,0.121110344827586,0,0.088298275862069,0.00143793103448276,0,0,0.00431379310344828,0,0,0,0,0,33149.6896551724,"National"
