"","Total","WRJP","SpFir","LngSl","LobSh","OthESw","OkP","OkH","OkGC","EAC","MapBB","AsBir","OtHw","TropHw","ExHd","Nons","STCountycode","Age_Class"
"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33149.6896551724,"160_180"
"Total9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33149.6896551724,"140_160"
"Total8",0.0094948275862069,0,0,0,0,0,0,0.0118413793103448,0,0,0,0,0,0,0,0,33149.6896551724,"120_140"
"Total7",0.000543103448275862,0,0,0,0,0,0,0.000543103448275862,0,0,0,0,0,0,0,0,33149.6896551724,"100_120"
"Total6",0.147515517241379,0,0,0,0,0,0.0899172413793103,0.11486724137931,0,0,0.0780672413793103,0,0,0,0,0,33149.6896551724,"80_100"
"Total5",0.307148275862069,0,0,0,0,0,0.0396189655172414,0.409396551724138,0,0,0.0193120689655172,0,0.0851551724137931,0,0,0,33149.6896551724,"60_80"
"Total4",0.288825862068965,0.85445,0,0,0.0465948275862069,0,0.0550344827586207,0.327039655172414,0,0,0.193729310344828,0,0,0,0,0,33149.6896551724,"40_60"
"Total3",0.431013793103448,0.040448275862069,0,0,1.26449655172414,0.133737931034483,0.0968689655172414,0.759127586206897,0,0,0,0,0,0,0,0,33149.6896551724,"20_40"
"Total2",3.75670172413793,0,0,0,0.380512068965517,0,0.439986206896552,4.06406724137931,0,0,0,0,0,0,0,0.662286206896552,33149.6896551724,"0_20"
"Total1",0.483024137931034,0.123974137931034,0,0,0.329315517241379,0.133737931034483,0.279437931034483,0.489374137931035,0,0,0.239587931034483,0,0.0851551724137931,0,0,0.662286206896552,33149.6896551724,"Sum"
