SpeciesCode,AgeDBH,MaximumBarkThickness
AcerPens,34.71,2.48
AcerRubr,122.15,2.48
AcerSacc,200,3.27
AescBuck,81.1,3.13
AmelArbo,67.69,2.81
BetuAlle,139.29,2.09
BetuLent,79.01,2.1
BetuNigr,21.17,3.58
CaryAlba,118.77,3.59
CaryCodi,93.93,3.32
CaryGlab,104.63,2.72
CaryOvat,62.35,2.47
CornFlor,16.59,0.94
FaguGran,82.87,2.1
FrasFirr,77.4,5.01
FraxAmer,101.58,4.15
FraxPenn,50.4,2.46
HaleDipt,83.99,2.45
IlexOpac,36.52,1.63
JuglNigr,41.65,2.45
LiquStyr,60.38,2.07
LiriTuli,110.84,4.05
MagnAcum,68.98,2.89
MagnMacr,62.4,2.89
NyssSylv,64.06,2.89
OxydArbo,52.79,1.95
PiceRube,111.54,2.64
PinuEnch,76.21,2.64
PinuPung,29.24,1.95
PinuRigi,41.23,2.62
PinuStro,92.85,3.92
PinuTaed,109.88,5.82
PinuVirg,60.03,1.99
PlanOcid,34.11,1.85
PrunPenn,40.17,1.99
PrunSero,79.39,2.2
QuerAlba,90.33,3.9
QuerCocc,97.16,3.5
QuerFalc,95.82,3.86
QuerPrin,102.15,4.62
QuerRubr,122.8,4.73
QuerStel,48.25,2.55
QuerVelu,82.82,3.74
RobiPseu,46.8,2.99
SassAlid,34.3,1.33
TiliAmer,78.42,3.13
TiliAmhe,39.83,3.12
TsugCana,128.78,4.49
