"","Time","ClimateRegionName","ClimateRegionIndex","NumSites","NEEC","SOMTC","AGB","AG_NPPC","BG_NPPC","Litterfall","AgeMortality","MineralN","TotalN","GrossMineralization","C_LiveLeaf","C_LiveFRoot","C_LiveWood","C_LiveCRoot","C_DeadWood","C_DeadCRoot","C_DeadLeaf_Struc","C_DeadLeaf_Meta","C_DeadFRoot_Struc","C_DeadFRoot_Meta","C_SOM1surf","C_SOM1soil","C_SOM2","C_SOM3","N_Leaf","N_FRoot","N_Wood","N_CRoot","N_DeadWood","N_DeadCRoot","N_DeadLeaf_Struc","N_DeadLeaf_Meta","N_DeadFRoot_Struc","N_DeadFRoot_Meta","N_SOM1surf","N_SOM1soil","N_SOM2","N_SOM3","SurfStrucNetMin","SurfMetaNetMin","SoilStrucNetMin","SoilMetaNetMin","SOM1surfNetMin","SOM1soilNetMin","SOM2NetMin","SOM3NetMin","TotalNdep","StreamC","StreamN","FireCEfflux","FireNEfflux","Nuptake","Nresorbed","TotalSoilN","Nvol","FrassC","X"
"1",0," eco1",0,1,0,2923,100,0,0,0,0,2,180.1,0,0,0,47,9.4,51.7,33.8,4.4,0.8,0,0,15,30,1750,1128,0,0,0.1,0.1,0.3,0.2,0,0.1,0,0,1.5,3,40,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.6,0,0,NA
"2",1," eco1",0,1,-19.5,2865.6,224,66,13.2,3.3,4.1,1.51,182,2.9,28.4,5.7,77.2,15.4,55.1,34.5,6,1.2,0.3,0.3,3.9,50.8,1682.5,1128.3,1.1,0.1,0.1,0.1,0.3,0.2,0,0.1,0,0,0.4,5.9,39.3,133.1,0,0,0,0,0.9,0.9,-2.8,0,3.39,0.01,0.04,0,0,1.3,0.1,180.2,1.46,0,NA
"3",2," eco1",0,1,-74.1,2815.3,407,109.3,21.9,15.9,7.4,1.49,184.2,3.1,65,13,126.6,25.3,59.8,35.4,16.1,4.2,1.6,1.4,2.4,63.1,1621.2,1128.7,2.5,0.2,0.2,0.1,0.3,0.2,0.1,0.1,0,0,0.1,7.2,38.5,133.1,0,0,0,0,0.3,1.7,-2.3,0,3.39,0,0,0,0,1.9,0.4,180.7,1.19,0,NA
"4",3," eco1",0,1,-153.1,2772.5,692,174.8,35,29.2,11.6,1.09,186.5,3.1,119.7,23.9,205.9,41.2,66.5,36.5,34.6,8.9,4.1,2.9,3.4,70.1,1570,1129,4.6,0.4,0.3,0.2,0.3,0.2,0.2,0.2,0,0.1,0.1,7.7,37.9,133.1,0,-0.1,0,0,0.1,1.9,-1.7,0,3.36,0,0,0,0,2.9,0.8,180.5,1.11,0,NA
"5",4," eco1",0,1,-152.9,2735.6,932,177.8,35.6,47.3,17.9,1.59,188.9,3.2,157.8,31.6,280.5,56.1,77,38.2,64.3,15.7,8,5.2,5.5,74.7,1526,1129.4,6,0.6,0.4,0.3,0.3,0.2,0.3,0.4,0,0.2,0.2,7.9,37.4,133.2,0,-0.1,0,0,0.2,1.9,-1.4,0,3.37,0,0,0,0,2.5,1.3,181.1,1,0,NA
"6",5," eco1",0,1,-233.5,2703.2,1279,251.5,50.3,63.5,24.6,1.32,191.3,3.4,215,43,386.6,77.3,91.3,40.2,103,23.1,13,7.5,8.1,78,1487.4,1129.8,8.2,0.8,0.5,0.5,0.3,0.2,0.5,0.5,0.1,0.2,0.3,7.8,36.9,133.2,0,-0.2,0,0,0.3,1.9,-1.2,0,3.44,0.01,0.02,0,0,3.6,1.8,180.8,0.95,0,NA
"7",6," eco1",0,1,-195.4,2677.5,1521,224.1,44.8,79,31.8,1.86,193.7,3.3,243.6,48.7,471.3,94.3,110.2,42.8,150,31.1,19.2,9.9,11.2,80.5,1455.8,1130.1,9.3,0.9,0.7,0.6,0.3,0.2,0.8,0.7,0.1,0.3,0.4,7.9,36.5,133.3,0,-0.2,0,-0.1,0.4,1.7,-1.1,0,3.4,0,0.02,0,0,2.6,2.2,181.8,0.97,0,NA
"8",7," eco1",0,1,-211.8,2655.1,1784,248.4,49.7,86.7,37.8,1.67,196,3.7,276.1,55.2,562.7,112.5,130.8,45.4,198.7,36.7,25.7,11.5,14.1,82.6,1427.9,1130.5,10.6,1,0.8,0.7,0.3,0.2,1,0.8,0.1,0.3,0.5,8.2,36.4,133.3,0,-0.3,0,-0.1,0.6,1.7,-1.5,0,3.35,0,0,0,0,2.9,2.5,182.4,1.13,0,NA
"9",8," eco1",0,1,-221.1,2639.4,2025,257,51.4,98.9,45.1,2.1,198.3,3.6,300.5,60.1,651.3,130.3,156.6,49,253.6,44,33,13.7,17.3,84.3,1407.1,1130.8,11.5,1.1,0.9,0.8,0.3,0.3,1.3,1,0.2,0.4,0.6,8.2,36.3,133.3,0,-0.3,0,-0.1,0.6,1.7,-1.1,0,3.38,0,0,0,0,2.7,2.8,183.4,1.09,0,NA
"10",9," eco1",0,1,-224.2,2627.1,2271,274.9,55,107.4,51.8,2.13,200.3,4.2,325.1,65,742.5,148.5,182.9,52.5,309,48,40.5,14.7,20.4,85.9,1389.6,1131.2,12.5,1.2,1,0.9,0.3,0.3,1.5,1.1,0.2,0.4,0.7,8.3,36.3,133.4,0,-0.4,0,-0.2,0.8,1.8,-1.4,0,3.38,0,0.02,0,0,3,3,184.1,1.14,0,NA
"11",10," eco1",0,1,-147.7,2622.2,2329,196.9,39.4,112.2,57.4,2.37,200.9,3.4,307.5,61.5,787.5,157.5,217,58,369.2,56.9,48.5,17.7,23.6,87.3,1379.8,1131.6,11.8,1.2,1.1,0.9,0.4,0.3,1.8,1.3,0.2,0.5,0.8,8.5,36.3,133.4,0,-0.3,0,-0.1,0.7,1.4,-1,0,3.43,0,0.02,0,0,2.5,3.2,185.3,1.31,0,NA
"12",11," eco1",0,1,-308.6,2621.2,2696,354.2,70.8,117.7,64,2.25,204.4,4.2,359.8,72,907.6,181.5,248.2,62.6,425.6,59.3,56.3,18.1,27.1,89,1373.1,1131.9,13.8,1.3,1.3,1.1,0.4,0.4,2.1,1.3,0.3,0.5,0.9,8.7,36.6,133.5,0.1,-0.4,0,-0.2,1,1.6,-1.4,0,3.39,0,0.04,0,0,2.9,3.3,186.2,1.29,0,NA
"13",12," eco1",0,1,-241.3,2623.1,2958,320.8,64.2,126.7,71,2.3,206.7,5.2,387,77.4,1003.4,200.7,275.9,66.5,479.7,58.4,63.8,17.4,29.7,90.4,1370.6,1132.4,14.8,1.4,1.4,1.2,0.4,0.4,2.4,1.3,0.3,0.5,0.9,8.9,36.8,133.5,0.1,-0.5,0,-0.2,1.3,2,-1.6,0,3.38,0,0.03,0,0,3.1,3.6,187.1,1.27,0,NA
"14",13," eco1",0,1,-215.3,2628.8,3136,296.3,59.3,134.7,77.8,2.39,208.2,4.9,394.5,78.9,1079.7,215.9,308.8,71.6,537.9,61.9,71.9,18.6,32.3,91.6,1372.1,1132.8,15.1,1.5,1.5,1.3,0.5,0.4,2.7,1.4,0.4,0.6,1,8.9,37,133.6,0.1,-0.5,0,-0.2,1.2,2,-1.4,0,3.41,0.01,0.02,0,0,3.2,3.8,187.9,1.27,0,NA
"15",14," eco1",0,1,-234.5,2639.5,3339,318.9,63.8,139.6,84.1,2.37,210.1,4.9,408,81.6,1161.4,232.3,343.1,77.2,595.6,64.9,80.1,19.4,35.2,93.1,1378,1133.2,15.6,1.5,1.6,1.4,0.5,0.4,3,1.4,0.4,0.6,1,9.1,37.4,133.6,0.1,-0.5,0,-0.2,1.3,1.8,-1.4,0,3.38,0,0.02,0,0,3.1,4,189,1.3,0,NA
"16",15," eco1",0,1,-257.5,2653.7,3544,331.5,66.3,144.6,90.4,2.36,212.1,4.5,422.5,84.5,1243.3,248.7,384.2,84.5,657.7,71.3,88.7,21.6,38.4,94.7,1387,1133.6,16.2,1.6,1.7,1.5,0.6,0.5,3.3,1.6,0.4,0.7,1.1,9.2,37.7,133.7,0.1,-0.5,0,-0.2,1.2,1.6,-1.2,0,3.36,0,0.02,0,0,3.1,4.1,190,1.3,0,NA
"17",16," eco1",0,1,-238.7,2674,3737,334.6,66.9,147.6,96.1,2.44,214.2,5.1,435.5,87.1,1321.2,264.2,420.7,90.8,714.2,73,96.7,21.9,41.8,96.7,1401.4,1134,16.7,1.6,1.8,1.6,0.6,0.5,3.6,1.6,0.5,0.7,1.2,9.5,38.2,133.7,0.1,-0.6,0,-0.3,1.4,1.8,-1.5,0,3.38,0,0,0,0,2.9,4.2,191.4,1.39,0,NA
"18",17," eco1",0,1,-194.4,2697.1,3823,294.5,58.9,152.4,101.7,2.45,215.2,4.9,424.5,84.9,1372.7,274.5,461.9,98.3,773.9,77.6,105.2,23.4,45.4,98.9,1418.4,1134.4,16.3,1.6,1.9,1.6,0.7,0.6,3.9,1.7,0.5,0.7,1.2,9.6,38.7,133.8,0.1,-0.6,0,-0.3,1.3,1.7,-1.3,0,3.39,0,0,0,0,3.2,4.3,192.5,1.33,0,NA
"19",18," eco1",0,1,-236.7,2727,4048,363.3,72.7,151.2,106.6,2.62,218.1,5.7,447.6,89.5,1455,291,490.4,103.1,819.5,73.6,112,21.7,47.5,101.2,1443.4,1134.9,17.2,1.7,2,1.7,0.7,0.6,4.1,1.6,0.6,0.7,1.2,10,39.5,133.9,0.1,-0.7,0,-0.4,1.7,1.8,-1.9,0,3.42,0.02,0.05,0,0,2.4,4.3,194.2,1.57,0,NA
"20",19," eco1",0,1,-235.4,2757.3,4224,352,70.4,156.7,112.2,2.56,220,5.5,459.9,92,1525.8,305.2,526.8,109.7,871.1,76,119.5,22.6,50.2,103.2,1468.5,1135.3,17.6,1.7,2.1,1.8,0.8,0.6,4.4,1.7,0.6,0.7,1.3,10.2,40.1,133.9,0.1,-0.6,0,-0.3,1.5,1.9,-1.6,0,3.41,0,0,0,0,3.3,4.4,195.3,1.41,0,NA
"21",20," eco1",0,1,-179.3,2789.4,4286,302.9,60.6,157.7,116.2,2.68,221.3,5.2,447.6,89.5,1567.1,313.4,566.5,117.1,923.5,79.8,127.2,23.9,53,105.5,1495.2,1135.8,17.1,1.7,2.2,1.8,0.8,0.7,4.6,1.8,0.6,0.7,1.3,10.4,40.8,134,0.1,-0.6,0,-0.3,1.5,1.8,-1.6,0,3.42,0.02,0.04,0,0,2.6,4.5,196.9,1.55,0,NA
"22",21," eco1",0,1,-153.3,2826.8,4344,298.8,59.8,152.8,118.8,2.87,223.1,5.5,438.2,87.6,1603.8,320.8,597.9,122.9,965.2,78.4,133.5,23.2,55.5,108,1527,1136.2,16.8,1.6,2.2,1.9,0.9,0.7,4.8,1.7,0.7,0.7,1.3,10.9,41.8,134.1,0.1,-0.6,0,-0.4,1.6,1.7,-2,0,3.42,0.01,0.04,0,0,1.9,4.3,199,1.76,0,NA
"23",22," eco1",0,1,-211.8,2866.2,4511,355,71,153.6,123,2.77,225.4,5.9,455,91,1665.3,333.1,627.8,128.4,1003.7,77.3,139.5,22.8,57.3,110.4,1561.8,1136.7,17.4,1.7,2.3,2,0.9,0.8,5,1.7,0.7,0.7,1.3,11.2,42.7,134.1,0.1,-0.6,0,-0.4,1.6,2,-2,0,3.43,0.01,0.06,0,0,2.7,4.3,200.3,1.67,0,NA
"24",23," eco1",0,1,-129.9,2905.1,4506,277.4,55.5,154.2,125.5,2.77,226.1,5.5,434,86.8,1684.1,336.8,663.1,135.1,1045.5,79.9,145.8,23.7,59.7,112.8,1595.4,1137.2,16.6,1.6,2.4,2,0.9,0.8,5.2,1.8,0.7,0.7,1.3,11.5,43.6,134.2,0.1,-0.6,0,-0.3,1.5,1.9,-1.9,0,3.38,0,0.02,0,0,2.6,4.4,201.8,1.61,0,NA
"25",24," eco1",0,1,-95.9,2948.8,4502,270.3,54.1,146,126.1,3.21,227.8,5.8,417.8,83.6,1698.6,339.7,686.1,139.4,1073,76.3,150.4,22.4,61.2,115.3,1634.6,1137.7,16,1.6,2.4,2,1,0.8,5.4,1.7,0.8,0.7,1.3,11.9,44.9,134.3,0.2,-0.6,0,-0.5,1.7,1.8,-2.2,0,3.36,0,0,0,0,1.2,4.1,204.1,2.09,0,NA
"26",25," eco1",0,1,-165,2987.4,4560,301.6,60.3,145.9,128.7,2.87,229.3,5.1,416.6,83.3,1726.7,345.3,724.3,146.8,1110.4,80.2,156.1,23.9,63,117.6,1668.7,1138.1,16,1.6,2.4,2,1,0.9,5.6,1.8,0.8,0.7,1.3,12.2,45.8,134.4,0.1,-0.5,0,-0.3,1.4,1.7,-1.9,0,3.46,0.04,0.1,0,0,2.5,4.1,205.4,1.79,0,NA
"27",26," eco1",0,1,-144.8,3031.8,4623,303.1,60.6,143.3,130.2,3.08,231.4,5.5,418.8,83.8,1754.1,350.8,752.2,152.1,1138.9,79.2,160.7,23.4,65.2,120.3,1707.6,1138.6,16,1.6,2.4,2.1,1.1,0.9,5.7,1.8,0.8,0.7,1.4,12.5,47,134.5,0.1,-0.6,0,-0.4,1.5,1.8,-2.1,0,3.48,0.04,0.07,0,0,1.8,4.1,207.3,1.91,0,NA
"28",27," eco1",0,1,-87.6,3078,4600,264.7,52.9,143.7,131.6,2.99,232.1,6,402.1,80.4,1760.1,352,775,156.5,1163.7,77.8,164.9,22.9,67,123,1748.9,1139.1,15.4,1.5,2.5,2.1,1.1,0.9,5.8,1.7,0.8,0.7,1.4,12.8,48,134.5,0.2,-0.6,0,-0.4,1.6,2.1,-2.2,0,3.39,0,0,0,0,2.5,4.1,208.7,1.77,0,NA
"29",28," eco1",0,1,-111.5,3123.2,4622,281.4,56.3,138.8,132.2,3.21,234,5.6,398.3,79.7,1774.2,354.8,798.9,161.1,1186.2,77.1,168.7,22.7,68.4,125.5,1789.7,1139.6,15.3,1.5,2.5,2.1,1.1,0.9,5.9,1.7,0.8,0.7,1.3,13,49.2,134.6,0.2,-0.6,0,-0.4,1.5,1.8,-2.2,0,3.38,0,0,0,0,1.6,3.9,210.6,2.05,0,NA
"30",29," eco1",0,1,-4.6,3167.6,4453,187.9,37.6,135.9,131.6,3.23,233.8,5.4,352.6,70.5,1740.4,348.1,823.3,165.8,1208.2,77.5,172.4,22.9,70.2,127.9,1829.5,1140.1,13.5,1.3,2.4,2,1.2,1,6,1.7,0.9,0.7,1.3,13.3,50.4,134.7,0.2,-0.5,0,-0.4,1.4,1.8,-2.1,0,3.42,0,0,0,0,1.8,3.8,212.3,2.03,0,NA
"31",30," eco1",0,1,-134.1,3213.5,4555,307.3,61.5,127.3,131.7,3.51,236.6,5.7,372.8,74.6,1768.5,353.7,840.4,169.1,1220.1,74.3,174.9,21.8,70.5,130.4,1872,1140.6,14.3,1.4,2.5,2.1,1.2,1,6.1,1.6,0.9,0.7,1.3,13.6,51.7,134.8,0.2,-0.6,0,-0.4,1.5,1.9,-2.3,0,3.39,0,0,0,0,1.2,3.6,214.2,2.4,0,NA
"32",31," eco1",0,1,-86,3262.1,4605,285.6,57.1,129.7,132.6,3.19,238.2,6.2,380.2,76,1784.4,356.9,846.4,170.1,1226,70.3,176.6,20.5,70.4,132.7,1917.8,1141.2,14.6,1.4,2.5,2.1,1.2,1,6.1,1.6,0.9,0.6,1.3,13.8,53.1,134.9,0.2,-0.6,0,-0.4,1.6,2.1,-2.5,0,3.38,0.01,0.02,0,0,2.1,3.7,215.4,2.08,0,NA
"33",32," eco1",0,1,-65.5,3305.8,4571,245.6,49.1,129.2,132.5,3.09,239.2,5.6,369,73.8,1779.6,355.9,865,173.8,1240.7,71.2,179.3,20.9,71.3,134.9,1957.9,1141.7,14.1,1.4,2.5,2.1,1.2,1,6.2,1.6,0.9,0.6,1.3,14,54.2,135,0.2,-0.5,0,-0.3,1.4,2,-2.3,0,3.38,0,0,0,0,2.2,3.7,216.8,1.89,0,NA
"34",33," eco1",0,1,-11.8,3351.4,4467,211.5,42.3,127.9,132.3,3.07,239.5,5.9,342.6,68.5,1757.3,351.5,876.5,176,1250.3,70.5,181.4,20.8,72.5,137.2,1999.5,1142.3,13.1,1.3,2.5,2.1,1.2,1,6.3,1.6,0.9,0.6,1.3,14.3,55.3,135.1,0.2,-0.5,0,-0.4,1.4,2.1,-2.4,0,3.35,0,0,0,0,2,3.6,218.3,1.9,0,NA
"35",34," eco1",0,1,-132.8,3396.4,4598,320.1,64,125.3,133.3,3.04,242.3,6.1,370.9,74.2,1790.5,358.1,884.4,177.5,1255.6,68.9,182.9,20.3,71.9,139.4,2042.3,1142.9,14.2,1.4,2.5,2.1,1.2,1,6.3,1.5,0.9,0.6,1.2,14.5,56.6,135.2,0.2,-0.5,0,-0.4,1.5,2.2,-2.6,0,3.42,0.01,0.03,0,0,2,3.5,219.8,1.96,0,NA
"36",35," eco1",0,1,-88.5,3441.5,4641,282.7,56.5,128.5,134,2.99,244.1,6.2,378.1,75.6,1803.5,360.7,892.7,179.1,1263.3,68.6,184.7,20.2,72.6,141.7,2083.7,1143.5,14.5,1.4,2.5,2.1,1.3,1.1,6.3,1.5,0.9,0.6,1.2,14.7,57.6,135.3,0.2,-0.5,0,-0.3,1.4,2.4,-2.6,0,3.44,0.02,0.05,0,0,2.3,3.6,221.2,1.82,0,NA
"37",36," eco1",0,1,-32.5,3487.8,4622,252.9,50.6,128,133.9,2.97,245.3,6.6,371.4,74.3,1801.1,360.2,891.2,178.7,1264.2,66.3,185.6,19.4,72.2,143.9,2127.6,1144.1,14.2,1.4,2.5,2.1,1.3,1.1,6.3,1.5,0.9,0.6,1.2,15,58.9,135.4,0.2,-0.6,0,-0.4,1.5,2.4,-2.8,0,3.36,0,0,0,0,2.1,3.6,222.7,1.86,0,NA
"38",37," eco1",0,1,-98.8,3533,4711,311.5,62.3,133.2,136.3,2.73,246.9,7,387.7,77.5,1826.8,365.4,890.6,178.5,1267.5,66,186.9,19.4,71.8,146,2170.4,1144.8,14.9,1.5,2.6,2.1,1.2,1.1,6.3,1.5,0.9,0.6,1.2,15.1,59.8,135.5,0.2,-0.5,0,-0.3,1.5,2.9,-2.8,0,3.38,0,0,0,0,3.1,3.8,223.6,1.62,0,NA
"39",38," eco1",0,1,-72.9,3574.6,4711,271,54.2,134.3,136.8,2.77,248.3,6.3,383.4,76.7,1830.9,366.2,902,180.7,1279.2,68.8,189,20.5,72.8,148.2,2208.4,1145.4,14.7,1.4,2.6,2.2,1.3,1.1,6.4,1.5,0.9,0.6,1.2,15.3,60.8,135.6,0.2,-0.5,0,-0.3,1.4,2.4,-2.7,0,3.38,0,0.02,0,0,2.2,3.8,225.2,1.68,0,NA
"40",39," eco1",0,1,-131,3619.8,4856,344.5,68.9,137.1,139.1,2.73,250.9,7.2,411.7,82.3,1870.9,374.2,901.6,180.6,1283.6,67.8,190.4,20.1,72.8,150.6,2250.3,1146.1,15.8,1.5,2.6,2.2,1.3,1.1,6.4,1.5,1,0.6,1.2,15.5,61.8,135.7,0.2,-0.6,0,-0.3,1.5,2.9,-2.9,0,3.4,0.02,0.03,0,0,2.7,3.9,226.4,1.64,0,NA
"41",40," eco1",0,1,-82.6,3663.7,4896,304.2,60.8,144,141.3,2.62,251.9,7.5,413.7,82.7,1887.8,377.6,904.2,181.1,1292.9,69.2,192.2,20.6,73.1,152.9,2290.9,1146.8,15.9,1.5,2.6,2.2,1.3,1.1,6.5,1.5,1,0.6,1.2,15.6,62.5,135.8,0.2,-0.6,0,-0.3,1.5,3.1,-2.9,0,3.38,0,0,0,0,3.3,4.1,227.3,1.5,0,NA
"42",41," eco1",0,1,-65.6,3708.2,4943,303.8,60.8,140.6,141.4,2.86,254.3,7.3,419,83.8,1904.4,380.9,899.8,180.2,1294.6,67.5,193.2,19.9,72.8,155.2,2332.7,1147.5,16.1,1.6,2.7,2.2,1.3,1.1,6.5,1.5,1,0.6,1.2,16,63.9,135.9,0.2,-0.6,0,-0.4,1.6,2.8,-3.4,0,3.43,0.02,0.04,0,0,1.8,4,229.4,1.81,0,NA
